samples	S-LLPA_core_genes
PC_00000836	Yes
PC_00000623	Yes
PC_00000604	Yes
PC_00000834	Yes
PC_00000574	Yes
PC_00000290	Yes
PC_00000201	Yes
PC_00000528	Yes
PC_00000673	Yes
PC_00001053	No
PC_00001052	No
PC_00001048	No
PC_00000643	No
PC_00000019	No
PC_00000344	No
PC_00000597	Yes
PC_00000480	Yes
PC_00000282	Yes
PC_00000952	Yes
PC_00000903	Yes
PC_00000312	Yes
PC_00000486	Yes
PC_00000269	No
PC_00000993	Yes
PC_00000753	Yes
PC_00000944	No
PC_00000590	Yes
PC_00000488	Yes
PC_00000470	Yes
PC_00000550	No
PC_00000435	Yes
PC_00000989	Yes
PC_00000571	Yes
PC_00000677	Yes
PC_00000496	Yes
PC_00000468	No
PC_00000552	No
PC_00000177	Yes
PC_00001585	Yes
PC_00001311	No
PC_00000807	No
PC_00000330	No
PC_00001195	No
PC_00001046	No
PC_00000236	No
PC_00001286	No
PC_00000739	No
PC_00000880	No
PC_00000513	No
PC_00000734	No
PC_00000539	No
PC_00001179	No
PC_00000613	No
PC_00000346	No
PC_00000674	No
PC_00000555	No
PC_00000697	No
PC_00000342	No
PC_00000814	No
PC_00000816	No
PC_00000933	No
PC_00000820	No
PC_00000350	Yes
PC_00000624	Yes
PC_00001047	No
PC_00000815	No
PC_00000853	No
PC_00000457	No
PC_00001035	No
PC_00000901	No
PC_00001452	No
PC_00000385	Yes
PC_00000726	Yes
PC_00000939	Yes
PC_00000429	Yes
PC_00000326	Yes
PC_00000510	No
PC_00000333	No
PC_00000632	Yes
PC_00000478	No
PC_00002101	No
PC_00000186	Yes
PC_00000913	Yes
PC_00000777	Yes
PC_00000273	Yes
PC_00001088	No
PC_00001108	No
PC_00002277	Yes
PC_00001207	Yes
PC_00001045	Yes
PC_00000568	Yes
PC_00000573	Yes
PC_00000472	Yes
PC_00001161	No
PC_00001008	Yes
PC_00001042	No
PC_00000559	Yes
PC_00000629	Yes
PC_00000023	Yes
PC_00000856	Yes
PC_00000890	Yes
PC_00000275	Yes
PC_00000451	Yes
PC_00000795	Yes
PC_00000627	Yes
PC_00000869	Yes
PC_00000916	Yes
PC_00000824	No
PC_00001015	No
PC_00000009	No
PC_00000298	No
PC_00000997	No
PC_00001105	No
PC_00001040	No
PC_00000417	No
PC_00001435	No
PC_00001140	No
PC_00001130	No
PC_00001135	Yes
PC_00001128	No
PC_00001137	No
PC_00001133	No
PC_00001129	No
PC_00000520	Yes
PC_00000522	No
PC_00000519	No
PC_00000517	No
PC_00000659	No
PC_00002215	Yes
PC_00002115	Yes
PC_00002045	Yes
PC_00001134	Yes
PC_00001018	Yes
PC_00000994	Yes
PC_00000420	Yes
PC_00000923	Yes
PC_00000393	Yes
PC_00000428	Yes
PC_00000845	Yes
PC_00000537	Yes
PC_00000796	No
PC_00000649	No
PC_00000431	No
PC_00000384	Yes
PC_00000656	No
PC_00000012	Yes
PC_00000362	Yes
PC_00000027	Yes
PC_00000487	Yes
PC_00000958	Yes
PC_00000931	No
PC_00000281	No
PC_00000652	Yes
PC_00000381	Yes
PC_00000397	Yes
PC_00000272	Yes
PC_00000803	Yes
PC_00000461	Yes
PC_00000361	Yes
PC_00000343	Yes
PC_00000257	No
PC_00000410	Yes
PC_00000390	No
PC_00000447	Yes
PC_00000884	No
PC_00001003	Yes
PC_00000543	Yes
PC_00000426	Yes
PC_00000339	Yes
PC_00000443	Yes
PC_00000353	Yes
PC_00000347	Yes
PC_00000169	Yes
PC_00000382	Yes
PC_00000394	Yes
PC_00000018	Yes
PC_00000329	Yes
PC_00000494	Yes
PC_00000265	Yes
PC_00000846	Yes
PC_00001213	Yes
PC_00000878	Yes
PC_00000864	Yes
PC_00000359	Yes
PC_00001131	No
PC_00000128	Yes
PC_00000179	No
PC_00000860	No
PC_00000742	Yes
PC_00000377	Yes
PC_00000591	Yes
PC_00000448	Yes
PC_00001356	No
PC_00001320	Yes
PC_00001331	Yes
PC_00001329	Yes
PC_00000309	No
PC_00002165	Yes
PC_00002413	Yes
PC_00000840	No
PC_00000526	No
PC_00000744	Yes
PC_00000891	Yes
PC_00001306	Yes
PC_00000635	Yes
PC_00000964	Yes
PC_00000634	Yes
PC_00001062	No
PC_00000311	Yes
PC_00000566	Yes
PC_00000563	Yes
PC_00000761	Yes
PC_00000959	Yes
PC_00000477	Yes
PC_00000762	Yes
PC_00000716	Yes
PC_00001211	No
PC_00000924	No
PC_00000832	No
PC_00000441	No
PC_00000327	No
PC_00000348	No
PC_00001786	No
PC_00001324	No
PC_00000738	No
PC_00000680	No
PC_00000516	Yes
PC_00000423	Yes
PC_00000675	Yes
PC_00001165	No
PC_00000007	No
PC_00001078	No
PC_00000364	No
PC_00000886	Yes
PC_00000304	No
PC_00000292	No
PC_00000925	Yes
PC_00000398	No
PC_00000525	No
PC_00000567	No
PC_00000755	No
PC_00000240	Yes
PC_00000562	Yes
PC_00000774	Yes
PC_00000812	Yes
PC_00000593	Yes
PC_00000466	Yes
PC_00000696	Yes
PC_00000847	No
PC_00000873	No
PC_00000968	No
PC_00000389	Yes
PC_00000749	Yes
PC_00000985	Yes
PC_00000981	Yes
PC_00000948	Yes
PC_00000283	Yes
PC_00000014	Yes
PC_00000026	Yes
PC_00000437	Yes
PC_00000713	Yes
PC_00000780	Yes
PC_00000736	Yes
PC_00000165	Yes
PC_00000800	Yes
PC_00000741	Yes
PC_00000434	Yes
PC_00000607	Yes
PC_00000010	Yes
PC_00000271	Yes
PC_00000127	No
PC_00000907	No
PC_00000499	No
PC_00001208	No
PC_00001359	No
PC_00001193	No
PC_00000619	No
PC_00001711	No
PC_00001355	No
PC_00002122	No
PC_00001374	No
PC_00000598	No
PC_00001293	No
PC_00001375	No
PC_00001397	No
PC_00001303	No
PC_00001270	No
PC_00001283	No
PC_00001301	No
PC_00001379	No
PC_00001351	No
PC_00001742	No
PC_00001783	No
PC_00001206	No
PC_00001371	No
PC_00001576	No
PC_00001288	No
PC_00001288	No
PC_00001309	No
PC_00001363	No
PC_00001358	No
PC_00001307	No
PC_00001299	No
PC_00001302	No
PC_00001364	No
PC_00001396	No
PC_00001380	No
PC_00001391	No
PC_00001563	No
PC_00001362	No
PC_00001590	No
PC_00001559	No
PC_00001446	No
PC_00001242	No
PC_00001770	No
PC_00001389	No
PC_00001442	No
PC_00001691	No
PC_00001717	No
PC_00000462	Yes
PC_00000630	Yes
PC_00000986	Yes
PC_00000294	No
PC_00001546	No
PC_00000932	No
PC_00000784	No
PC_00000829	No
PC_00000266	Yes
PC_00000337	Yes
PC_00000833	Yes
PC_00001247	Yes
PC_00000889	Yes
PC_00000955	Yes
PC_00000295	Yes
PC_00000885	Yes
PC_00000911	Yes
PC_00001142	Yes
PC_00000756	Yes
PC_00000906	Yes
PC_00000356	No
PC_00001543	No
PC_00000576	No
PC_00000918	No
PC_00000412	No
PC_00000921	No
PC_00000503	Yes
PC_00000031	Yes
PC_00000763	Yes
PC_00000163	No
PC_00001188	Yes
PC_00000954	Yes
PC_00000479	Yes
PC_00001049	No
PC_00000491	Yes
PC_00001376	No
PC_00000349	No
PC_00001775	No
PC_00000376	Yes
PC_00000495	No
PC_00000990	No
PC_00001378	No
PC_00001287	No
PC_00001810	Yes
PC_00000430	No
PC_00000316	No
PC_00001281	No
PC_00001557	No
PC_00000030	Yes
PC_00000899	Yes
PC_00000888	No
PC_00000288	Yes
PC_00000596	No
PC_00000710	No
PC_00000771	Yes
PC_00000610	Yes
PC_00000768	Yes
PC_00000022	Yes
PC_00001069	No
PC_00001705	No
PC_00000458	Yes
PC_00000575	Yes
PC_00000870	No
PC_00000865	Yes
PC_00000938	Yes
PC_00000979	Yes
PC_00000631	Yes
PC_00000358	Yes
PC_00000274	Yes
PC_00000481	Yes
PC_00000723	Yes
PC_00000701	Yes
PC_00000657	Yes
PC_00000698	Yes
PC_00000717	Yes
PC_00001000	Yes
PC_00000874	Yes
PC_00000557	No
PC_00000960	No
PC_00000977	No
PC_00000927	No
PC_00000839	No
PC_00000789	No
PC_00000957	No
PC_00000947	No
PC_00000811	Yes
PC_00000817	Yes
PC_00000821	Yes
PC_00001020	No
PC_00000032	Yes
PC_00002368	Yes
PC_00001609	No
PC_00001558	No
PC_00001093	No
PC_00001209	Yes
PC_00001774	No
PC_00000647	No
PC_00000809	No
PC_00000641	Yes
PC_00000988	No
PC_00001202	No
PC_00000475	Yes
PC_00000830	No
PC_00000492	No
PC_00000310	Yes
PC_00000782	Yes
PC_00000581	No
PC_00000773	No
PC_00000699	Yes
PC_00000414	No
PC_00000929	No
PC_00000854	No
PC_00000898	No
PC_00000650	No
PC_00000554	No
PC_00000202	Yes
PC_00001240	Yes
PC_00000825	Yes
PC_00000387	Yes
PC_00000602	Yes
PC_00000987	Yes
PC_00000372	Yes
PC_00000654	Yes
PC_00000355	Yes
PC_00000704	Yes
