Metagenome	Body_Site	Body_Subsite	Host_Gender
SRS018665	Oral	Supragingival_plaque	Female
SRS018671	Airways	Nares	Female
SRS018739	Oral	Tongue_dorsum	Female
SRS018769	UrogenitalTract	Posterior_fornix	Female
SRS018778	Oral	Supragingival_plaque	Male
SRS018784	Airways	Nares	Male
SRS018791	Oral	Tongue_dorsum	Male
SRS018817	GastrointestinalTract	Stool	Male
SRS018969	Oral	Tongue_dorsum	Male
SRS018971	Oral	Buccal_mucosa	Male
SRS018975	Oral	Supragingival_plaque	Male
SRS018978	Skin	Retroauricular_crease	Male
SRS018981	Airways	Nares	Male
SRS019015	Skin	Retroauricular_crease	Male
SRS019016	Skin	Retroauricular_crease	Male
SRS019019	Airways	Nares	Male
SRS019022	Oral	Tongue_dorsum	Male
SRS019024	Oral	Buccal_mucosa	Male
SRS019025	Oral	Attached_Keratinized_gingiva	Male
SRS019026	Oral	Palatine_tonsils	Male
SRS019027	Oral	Throat	Male
SRS019028	Oral	Supragingival_plaque	Male
SRS019029	Oral	Subgingival_plaque	Male
SRS019030	GastrointestinalTract	Stool	Male
SRS019033	Skin	Retroauricular_crease	Male
SRS019039	Airways	Nares	Male
SRS019045	Oral	Tongue_dorsum	Male
SRS019063	Skin	Retroauricular_crease	Male
SRS019064	Skin	Retroauricular_crease	Male
SRS019067	Airways	Nares	Male
SRS019071	Oral	Tongue_dorsum	Male
SRS019073	Oral	Buccal_mucosa	Male
SRS019077	Oral	Supragingival_plaque	Male
SRS019081	Skin	Retroauricular_crease	Male
SRS019087	Airways	Nares	Male
SRS019116	Skin	Retroauricular_crease	Male
SRS019119	Airways	Nares	Male
SRS019120	Oral	Saliva	Male
SRS019122	Oral	Tongue_dorsum	Male
SRS019124	Oral	Buccal_mucosa	Male
SRS019125	Oral	Attached_Keratinized_gingiva	Male
SRS019126	Oral	Palatine_tonsils	Male
SRS019127	Oral	Throat	Male
SRS019128	Oral	Supragingival_plaque	Male
SRS019129	Oral	Subgingival_plaque	Male
SRS019161	GastrointestinalTract	Stool	Male
SRS019215	Airways	Nares	Female
SRS019219	Oral	Tongue_dorsum	Female
SRS019221	Oral	Buccal_mucosa	Female
SRS019225	Oral	Supragingival_plaque	Female
SRS019267	GastrointestinalTract	Stool	Female
SRS019327	Oral	Tongue_dorsum	Female
SRS019329	Oral	Buccal_mucosa	Female
SRS019333	Oral	Supragingival_plaque	Female
SRS019339	Airways	Nares	Female
SRS019379	UrogenitalTract	Posterior_fornix	Female
SRS019386	Airways	Nares	Male
SRS019387	Oral	Supragingival_plaque	Male
SRS019389	Oral	Tongue_dorsum	Male
SRS019391	Oral	Buccal_mucosa	Male
SRS019397	GastrointestinalTract	Stool	Male
SRS019582	GastrointestinalTract	Stool	Male
SRS019587	Oral	Buccal_mucosa	Female
SRS019591	Oral	Supragingival_plaque	Female
SRS019597	Airways	Nares	Female
SRS019600	UrogenitalTract	Posterior_fornix	Female
SRS019601	GastrointestinalTract	Stool	Female
SRS019607	Oral	Tongue_dorsum	Female
SRS019685	GastrointestinalTract	Stool	Male
SRS019787	GastrointestinalTract	Stool	Male
SRS019867	Airways	Nares	Male
SRS019872	Oral	Buccal_mucosa	Male
SRS019894	Oral	Tongue_dorsum	Male
SRS019906	Oral	Supragingival_plaque	Male
SRS019910	GastrointestinalTract	Stool	Male
SRS019968	GastrointestinalTract	Stool	Female
SRS019974	Oral	Tongue_dorsum	Female
SRS019976	Oral	Buccal_mucosa	Female
SRS019980	Oral	Supragingival_plaque	Female
SRS019986	Airways	Nares	Female
SRS019989	UrogenitalTract	Posterior_fornix	Female
SRS020220	Oral	Tongue_dorsum	Male
SRS020226	Oral	Supragingival_plaque	Male
SRS020232	Airways	Nares	Male
SRS020233	GastrointestinalTract	Stool	Male
SRS020261	Skin	Retroauricular_crease	Male
SRS020263	Skin	Retroauricular_crease	Male
SRS020328	GastrointestinalTract	Stool	Female
SRS020334	Oral	Tongue_dorsum	Female
SRS020336	Oral	Buccal_mucosa	Female
SRS020340	Oral	Supragingival_plaque	Female
SRS020349	UrogenitalTract	Posterior_fornix	Female
SRS020386	Airways	Nares	Female
SRS020856	Oral	Tongue_dorsum	Male
SRS020858	Oral	Buccal_mucosa	Male
SRS020862	Oral	Supragingival_plaque	Male
SRS020868	Airways	Nares	Male
SRS020869	GastrointestinalTract	Stool	Male
SRS021473	Oral	Buccal_mucosa	Male
SRS021477	Oral	Supragingival_plaque	Male
SRS021483	Airways	Nares	Male
SRS021484	GastrointestinalTract	Stool	Male
SRS021496	Oral	Tongue_dorsum	Male
SRS021948	GastrointestinalTract	Stool	Female
SRS021954	Oral	Tongue_dorsum	Female
SRS021960	Oral	Supragingival_plaque	Female
SRS021969	UrogenitalTract	Posterior_fornix	Female
SRS022006	Airways	Nares	Female
SRS022071	GastrointestinalTract	Stool	Female
SRS022077	Oral	Tongue_dorsum	Female
SRS022079	Oral	Buccal_mucosa	Female
SRS022083	Oral	Supragingival_plaque	Female
SRS022092	UrogenitalTract	Posterior_fornix	Female
SRS022129	Airways	Nares	Female
SRS022137	GastrointestinalTract	Stool	Female
SRS022143	Oral	Tongue_dorsum	Female
SRS022145	Oral	Buccal_mucosa	Female
SRS022149	Oral	Supragingival_plaque	Female
SRS022158	UrogenitalTract	Posterior_fornix	Female
SRS022530	Oral	Tongue_dorsum	Female
SRS022532	Oral	Buccal_mucosa	Female
SRS022536	Oral	Supragingival_plaque	Female
SRS022609	GastrointestinalTract	Stool	Male
SRS022621	Oral	Tongue_dorsum	Male
SRS022625	Oral	Buccal_mucosa	Male
SRS022645	Airways	Nares	Male
SRS022719	Oral	Tongue_dorsum	Female
SRS022721	Oral	Buccal_mucosa	Female
SRS022725	Oral	Supragingival_plaque	Female
SRS022734	UrogenitalTract	Posterior_fornix	Female
SRS023176	GastrointestinalTract	Stool	Male
SRS023346	GastrointestinalTract	Stool	Female
SRS023352	Oral	Tongue_dorsum	Female
SRS023354	Oral	Buccal_mucosa	Female
SRS023358	Oral	Supragingival_plaque	Female
SRS023526	GastrointestinalTract	Stool	Male
SRS023534	Oral	Buccal_mucosa	Male
SRS023538	Oral	Supragingival_plaque	Male
SRS023557	Oral	Tongue_dorsum	Male
SRS023583	GastrointestinalTract	Stool	Female
SRS023591	Oral	Buccal_mucosa	Female
SRS023595	Oral	Supragingival_plaque	Female
SRS023617	Oral	Tongue_dorsum	Female
SRS023835	Oral	Tongue_dorsum	Female
SRS023837	Oral	Buccal_mucosa	Female
SRS023847	Airways	Nares	Female
SRS023850	UrogenitalTract	Posterior_fornix	Female
SRS023914	GastrointestinalTract	Stool	Male
SRS023926	Oral	Tongue_dorsum	Male
SRS023938	Oral	Supragingival_plaque	Male
SRS023958	Oral	Tongue_dorsum	Male
SRS023964	Oral	Supragingival_plaque	Male
SRS023970	Airways	Nares	Male
SRS023971	GastrointestinalTract	Stool	Male
SRS023987	Oral	Buccal_mucosa	Male
SRS024009	GastrointestinalTract	Stool	Female
SRS024015	Oral	Tongue_dorsum	Female
SRS024017	Oral	Buccal_mucosa	Female
SRS024021	Oral	Supragingival_plaque	Female
SRS024064	Airways	Nares	Female
SRS024068	UrogenitalTract	Posterior_fornix	Female
SRS024075	GastrointestinalTract	Stool	Male
SRS024081	Oral	Tongue_dorsum	Male
SRS024087	Oral	Supragingival_plaque	Male
SRS024132	GastrointestinalTract	Stool	Male
SRS024138	Oral	Tongue_dorsum	Male
SRS024140	Oral	Buccal_mucosa	Male
SRS024144	Oral	Supragingival_plaque	Male
SRS024265	GastrointestinalTract	Stool	Female
SRS024277	Oral	Tongue_dorsum	Female
SRS024289	Oral	Supragingival_plaque	Female
SRS024301	Airways	Nares	Female
SRS024318	Oral	Tongue_dorsum	Male
SRS024331	GastrointestinalTract	Stool	Male
SRS024347	Oral	Buccal_mucosa	Male
SRS024355	Oral	Supragingival_plaque	Male
SRS024375	Oral	Tongue_dorsum	Female
SRS024377	Oral	Buccal_mucosa	Female
SRS024381	Oral	Supragingival_plaque	Female
SRS024388	GastrointestinalTract	Stool	Female
SRS024424	Airways	Nares	Female
SRS024428	UrogenitalTract	Posterior_fornix	Female
SRS024435	GastrointestinalTract	Stool	Male
SRS024441	Oral	Tongue_dorsum	Male
SRS024447	Oral	Supragingival_plaque	Male
SRS024470	Oral	Buccal_mucosa	Male
SRS024482	Skin	Retroauricular_crease	Male
SRS024549	GastrointestinalTract	Stool	Male
SRS024557	Oral	Buccal_mucosa	Male
SRS024561	Oral	Supragingival_plaque	Male
SRS024567	Airways	Nares	Male
SRS024580	Oral	Tongue_dorsum	Male
SRS024596	Skin	Retroauricular_crease	Male
SRS024598	Skin	Retroauricular_crease	Male
SRS024620	Skin	Retroauricular_crease	Male
SRS024625	GastrointestinalTract	Stool	Male
SRS024637	Oral	Tongue_dorsum	Male
SRS024649	Oral	Supragingival_plaque	Male
SRS024655	Skin	Retroauricular_crease	Male
SRS042131	Oral	Tongue_dorsum	Male
SRS042284	GastrointestinalTract	Stool	Female
SRS042428	UrogenitalTract	Posterior_fornix	Female
SRS042457	Oral	Buccal_mucosa	Male
SRS042628	GastrointestinalTract	Stool	Male
SRS042643	Oral	Tongue_dorsum	Male
SRS042858	UrogenitalTract	Posterior_fornix	Female
SRS042910	Oral	Tongue_dorsum	Female
SRS042984	Oral	Supragingival_plaque	Female
SRS043001	GastrointestinalTract	Stool	Female
SRS043018	Oral	Supragingival_plaque	Female
SRS043411	GastrointestinalTract	Stool	Female
SRS043646	Oral	Buccal_mucosa	Male
SRS043663	Oral	Tongue_dorsum	Male
SRS043676	Oral	Buccal_mucosa	Female
SRS043701	GastrointestinalTract	Stool	Male
SRS043755	Oral	Supragingival_plaque	Male
SRS043772	Oral	Supragingival_plaque	Male
SRS044373	Oral	Tongue_dorsum	Female
SRS044474	Airways	Nares	Male
SRS044486	Oral	Tongue_dorsum	Male
SRS044626	Airways	Nares	Male
SRS044662	Oral	Tongue_dorsum	Female
SRS044742	UrogenitalTract	Posterior_fornix	Female
SRS045004	GastrointestinalTract	Stool	Male
SRS045049	Oral	Buccal_mucosa	Male
SRS045127	Oral	Tongue_dorsum	Male
SRS045197	Oral	Supragingival_plaque	Male
SRS045254	Oral	Buccal_mucosa	Male
SRS045262	Oral	Buccal_mucosa	Female
SRS045313	Oral	Supragingival_plaque	Male
SRS045606	Skin	Retroauricular_crease	Female
SRS045645	GastrointestinalTract	Stool	Male
SRS045713	GastrointestinalTract	Stool	Male
SRS045715	Oral	Tongue_dorsum	Female
SRS045978	Oral	Buccal_mucosa	Female
SRS046344	Airways	Nares	Male
SRS046623	Oral	Buccal_mucosa	Male
SRS046686	Oral	Buccal_mucosa	Male
SRS046688	Skin	Retroauricular_crease	Male
SRS047014	GastrointestinalTract	Stool	Male
SRS047044	GastrointestinalTract	Stool	Male
SRS047100	Oral	Supragingival_plaque	Female
SRS047113	Oral	Supragingival_plaque	Male
SRS047210	Oral	Tongue_dorsum	Female
SRS047219	Oral	Tongue_dorsum	Male
SRS047225	Airways	Nares	Male
SRS047265	Oral	Supragingival_plaque	Male
SRS047335	UrogenitalTract	Posterior_fornix	Female
SRS047634	Oral	Supragingival_plaque	Male
SRS047824	Oral	Tongue_dorsum	Female
SRS047844	Airways	Nares	Male
SRS048164	GastrointestinalTract	Stool	Male
SRS048411	Oral	Tongue_dorsum	Male
SRS048719	Oral	Buccal_mucosa	Male
SRS048791	Oral	Tongue_dorsum	Female
SRS048870	GastrointestinalTract	Stool	Female
SRS049147	Oral	Tongue_dorsum	Female
SRS049237	UrogenitalTract	Posterior_fornix	Female
SRS049268	Oral	Supragingival_plaque	Male
SRS049283	Oral	Buccal_mucosa	Male
SRS049318	Oral	Supragingival_plaque	Female
SRS049389	Oral	Tongue_dorsum	Male
SRS049712	GastrointestinalTract	Stool	Male
SRS049744	Airways	Nares	Male
SRS049900	GastrointestinalTract	Stool	Male
SRS049959	GastrointestinalTract	Stool	Male
SRS049995	GastrointestinalTract	Stool	Female
SRS050007	Oral	Buccal_mucosa	Female
SRS050025	Airways	Nares	Male
SRS050029	Oral	Buccal_mucosa	Female
SRS050184	UrogenitalTract	Posterior_fornix	Female
SRS050244	Oral	Tongue_dorsum	Female
SRS050299	GastrointestinalTract	Stool	Male
SRS050422	GastrointestinalTract	Stool	Male
SRS050484	Airways	Nares	Female
SRS050628	Oral	Buccal_mucosa	Male
SRS050669	Oral	Tongue_dorsum	Male
SRS050752	GastrointestinalTract	Stool	Female
SRS050925	GastrointestinalTract	Stool	Male
SRS051031	GastrointestinalTract	Stool	Male
SRS051116	Oral	Buccal_mucosa	Female
SRS051244	Oral	Supragingival_plaque	Male
SRS051378	Oral	Supragingival_plaque	Female
SRS051505	UrogenitalTract	Posterior_fornix	Female
SRS051600	Airways	Nares	Male
SRS051613	Airways	Nares	Male
SRS051791	Oral	Tongue_dorsum	Male
SRS051882	GastrointestinalTract	Stool	Female
SRS051930	Oral	Supragingival_plaque	Female
SRS051941	Oral	Supragingival_plaque	Female
SRS052027	GastrointestinalTract	Stool	Male
SRS052227	Oral	Tongue_dorsum	Female
SRS052330	UrogenitalTract	Posterior_fornix	Female
SRS052590	Airways	Nares	Female
SRS052604	Oral	Supragingival_plaque	Female
SRS052620	UrogenitalTract	Posterior_fornix	Female
SRS052668	Oral	Buccal_mucosa	Female
SRS052697	GastrointestinalTract	Stool	Female
SRS052756	UrogenitalTract	Posterior_fornix	Female
SRS052874	Oral	Buccal_mucosa	Female
SRS052876	Oral	Supragingival_plaque	Female
SRS052988	Skin	Retroauricular_crease	Male
SRS053335	GastrointestinalTract	Stool	Female
SRS053398	GastrointestinalTract	Stool	Female
SRS053437	Airways	Nares	Female
SRS053584	Oral	Supragingival_plaque	Male
SRS053603	Oral	Tongue_dorsum	Female
SRS053854	Oral	Tongue_dorsum	Female
SRS054061	Airways	Nares	Female
SRS054430	Oral	Supragingival_plaque	Male
SRS054569	Oral	Buccal_mucosa	Male
SRS054590	GastrointestinalTract	Stool	Female
SRS054653	Oral	Supragingival_plaque	Female
SRS054687	Oral	Tongue_dorsum	Female
SRS054776	Oral	Buccal_mucosa	Male
SRS054956	GastrointestinalTract	Stool	Female
SRS054962	UrogenitalTract	Posterior_fornix	Female
SRS055118	Oral	Buccal_mucosa	Female
SRS055298	UrogenitalTract	Posterior_fornix	Female
SRS055378	Oral	Supragingival_plaque	Male
SRS055401	Oral	Supragingival_plaque	Female
SRS055426	Oral	Tongue_dorsum	Male
SRS055450	Oral	Supragingival_plaque	Male
SRS055982	GastrointestinalTract	Stool	Female
SRS056210	Airways	Nares	Female
SRS056259	GastrointestinalTract	Stool	Male
SRS056323	Oral	Tongue_dorsum	Female
SRS056519	GastrointestinalTract	Stool	Male
