gene_cluster_id	WO_assignmnet	pct_alignment	cov_in_003	cov_in_007	cov_in_011	cov_in_012
GC_00000063			273.7912137335	242.902011276	488.9626377805	199.413752692
GC_00000064			245.617773943	235.895887259	476.851308599	185.157894737
GC_00000065	WOPip1	99.7849	455.666666667	436.519774011	1388.71751412	697.920903955
GC_00000066	WOPip1		241.064610866	233.864904552	460.441997063	154.938325991
GC_00000067			250.831597222	200.6542361115	498.0774305555	156.4322222225
GC_00000068	WOPip3		220.018684604	222.082959641	452.033632287	180.532137519
GC_00000069			220.659003831	251.026819923	462.398467433	164.296934866
GC_00000070			226.313339046	237.600971151	409.192230791	140.918023422
GC_00000071			276.270571827	241.032078103	515.694560669	192.005578801
GC_00000072			246.287581699	241.091503268	490.091503268	184.192156863
GC_00000073			250.067818298	236.484325016	497.82021753	156.561740243
GC_00000074			232.246603971	205.634273772	442.680250784	165.745036573
GC_00000075	WOPip4	99.9637	224.159593761	208.378309757	450.969894813	167.922742111
GC_00000076			319.701186624	298.073894283	593.275080906	251.543149946
GC_00000077			181.837301587	195.80952381	345.299603175	117.757936508
GC_00000078			247.772450533	256.03500761	511.885083714	164.52587519
GC_00000079			262.353505291	217.4913607805	451.339699074	174.2563657405
GC_00000080			262.696629213	241.739700375	506.332084894	157.75031211
GC_00000081			232.7797166295	221.6547522205	510.2324418685	184.146708698
GC_00000082			252.957650273	234.943306011	519.413251366	188.478825137
GC_00000083			217.02741433	191.546417445	448.037071651	160.892523364
GC_00000084		7.32436	232.701117318	231.03538175	480.491620112	165.635009311
GC_00000085			286.215628091	258.486646884	540.294757666	184.455984174
GC_00000086		3.36336	263.045714286	252.278095238	534.241587302	182.057142857
GC_00000087	WOPip2	99.8594	197.452991453	163.465811966	4.44871794872	2.33333333333
GC_00000088			227.9332294985	236.8074426585	475.339429013	163.968313549
GC_00000089			239.484756703	231.3013626835	454.1671852585	172.8449795875
GC_00000090			278.65967366	242.46037296	523.424242424	202.701631702
GC_00000091			241.675937632	222.592498946	477.237673831	152.808259587
GC_00000092			279.680776014	239.721340388	476.546737213	166.666666667
GC_00000093			271.696443342	263.417976289	509.810311552	180.737524125
GC_00000094			246.988329686	229.602479942	509.319474836	177.095550693
GC_00000095	WOPip4	99.9195	299.992025518	240.410685805	849.940988836	321.818181818
GC_00000096	WOPip1	99.7024	278.33604336	219	1245.62872629	328.119241192
GC_00000097	WOPip2	99.8728	223.956862745	162.258823529	1590.64313725	635.764705882
GC_00000098	WOPip4	99.6124	795.8100775185	816.6976744205	654.281007752	575.6763565895
GC_00000099	WOPip4	99.8028	433.7208333335	437.0625	579.2041666665	251.620833333
GC_00000100			258.582278481	234.818565401	493.025316456	190.210970464
GC_00000101			292.135135135	225.953153153	515.610810811	182.228828829
GC_00000102			231.340996169	214.38697318	508.58045977	178.212643678
GC_00000103			217.647249191	238.294498382	558.229773463	170.297734628
GC_00000104			245.239583333	206	461.329861111	155.729166667
GC_00000105			233.468992248	267.759689922	538.135658915	155.581395349
GC_00000106			257.73433584	225.899749373	536.187969925	171.731829574
GC_00000107			276.990358127	224.212809917	526.018595041	211.326446281
GC_00000108	WOPip5	99.9729	248.691347979	247.458909683	453.819907784	161.136425278
GC_00000109			279.53968254	252.779220779	520.914862915	192.585137085
GC_00000110			213.453869048	205.421875	493.144345238	167.041666667
GC_00000111			242.927437642	233.394557823	490.619047619	159.861678005
GC_00000112			276.537453184	245.034456929	490.20411985	193.445318352
GC_00000113			265.968509985	244.483102919	550.892473118	188.88172043
GC_00000114			226.013071895	255.140056022	473.977591036	172.9589169
GC_00000115			235.263636364	238.657575758	443.187878788	165.524242424
GC_00000116			227.424657534	203.570776256	451.639269406	167.529680365
GC_00000117			287.756410256	296.442307692	472.868589744	177.349358974
GC_00000118			261.978835979	245.746031746	504.121693122	196.256613757
GC_00000119			282.657181572	264.798102981	504.077235772	201.662601626
GC_00000120			283.904761905	262.923809524	493.404761905	216.638095238
GC_00000121			237.495098039	261.573529412	509.264705882	152.431372549
GC_00000122			248.152361255	239.186487418	505.65494657	179.880386074
GC_00000123			259.735646958	230.522707798	507.658097686	179.183804627
GC_00000124			211.856630824	196.792114695	418.370967742	134.697132616
GC_00000125			253.338945006	240.28956229	504.781144781	185.815937149
GC_00000126			262.972435897	236.771153846	522.893589744	179.426282051
GC_00000127			220.703225806	186.924731183	415.355913978	142.995698925
GC_00000128			195.252604167	234.661458333	490.625	200.903645833
GC_00000129			240.004287245	227.330117899	459.431939979	166.747052519
GC_00000130			305.703910615	279.366852886	513.08566108	197.703910615
GC_00000131			288.921875	247.789930556	537.465277778	178.234375
GC_00000132			248.08801956	211.378973105	498.332518337	198.291768541
GC_00000133			242.502688172	227.427419355	491.760752688	165.688172043
GC_00000134			249.162601626	238.439763489	483.32594235	193.908351811
GC_00000135			271.932140194	242.023117077	493.093214019	187.312453393
GC_00000136			272.853523357	234.826603325	534.243072051	208.898653998
GC_00000137			238.813559322	245.084745763	493.203389831	165.429378531
GC_00000138			221.492248062	226.726356589	512.106976744	172.547286822
GC_00000139			207.177718833	195.721485411	413.722369584	148.618037135
GC_00000140			240.350649351	264.623376623	530.20995671	198.837662338
GC_00000141			257.194225722	255.230971129	533.049868766	200.317585302
GC_00000142			193.735849057	266.582809224	450.566037736	205.932914046
GC_00000143	WOPip1	99.8073	279.853564547	248.061657033	504.055876686	161.273603083
GC_00000144			268.569390402	242.845654994	476.675745785	185.278858625
GC_00000145			243.642701525	214.507625272	535.978213508	154.263616558
GC_00000146			284.747360483	300.843891403	591.839366516	199.292609351
GC_00000147			229.018237082	226.813576494	457.17325228	153.693009119
GC_00000148			269.971354167	262.061197917	525.596354167	179.10546875
GC_00000149			294.916859122	238.741339492	525.434949962	191.906851424
GC_00000150			282.299054374	256.050827423	514.378250591	185.706855792
GC_00000151			219.448275862	231.566091954	457.396551724	157.824712644
GC_00000152			279.956349206	221.813492063	536.816137566	213.765873016
GC_00000153			243.148837209	210.068217054	482.246511628	181.634108527
GC_00000154			246.585921325	248.612836439	530.968944099	164.730848861
GC_00000155			258.59330915	248.271664651	512.453043128	179.514308746
GC_00000156			239.447441661	215.909441233	450.308499251	181.428816099
GC_00000157			193.649890591	225.538293217	428.258205689	145.725018235
GC_00000158			272.119823789	255.399412628	515.336270191	181.88928047
GC_00000159			218.281763827	211.443946188	443.094917788	169.852765321
GC_00000160			248.798245614	257.599681021	526.6523126	212.63476874
GC_00000161			216.760979122	200.200143988	451.853851692	159.731461483
GC_00000162	WOPip5	99.912	1153.94283201	1095.79683377	1613.73350923	564.558487247
GC_00000163			241.914653784	227.50805153	432.238325282	152.665056361
GC_00000164			242.642739274	238.477722772	468.482673267	176.401815182
GC_00000165			210.972151899	219.494514768	458.95443038	176.324894515
GC_00000166			241.637439109	222.352818372	488.022964509	167.496868476
GC_00000167			202.542288557	236.288557214	455.626865672	209.825870647
GC_00000168			268.935555556	264.773333333	476.451111111	174.231111111
GC_00000169			219.689497717	228.529680365	527.753424658	199.826484018
GC_00000170			243.755630631	227.180930931	482.657282282	188.288288288
GC_00000171			225.379487179	221.943589744	519.020512821	182.415384615
GC_00000172			216.341772152	190.651898734	438.246835443	165.32278481
GC_00000173			225.831140351	189.968201754	431.427631579	170.618421053
GC_00000174			256.838541667	272.994791667	531.366071429	167.552083333
GC_00000175			252.679633867	228.49122807	493.535469108	178.234172387
GC_00000176			217.954180985	205.095074456	463.042382589	166.276059565
GC_00000177			264.550884956	218.182153392	490.502949853	192.632743363
GC_00000178			288.134640523	280.977777778	518.74248366	217.339869281
GC_00000179			186.085034014	189.613945578	442.37244898	119.578231293
GC_00000180			282.443914081	284.583929992	534.120127287	191.757358791
GC_00000181			257.033333333	253.645833333	486.25625	167.489583333
GC_00000182			259.446441948	238.915355805	496.095131086	174.498127341
GC_00000183			240.974358974	201.566433566	451.023310023	129.976689977
GC_00000184			231.753180662	246.797285835	543.857506361	182.80322307
GC_00000185			208.410928962	211.781420765	417.765027322	129.853551913
GC_00000186			230.014571949	242.983606557	516.520947177	162.389799636
GC_00000187			234.76652602	244.556962025	477.863572433	163.337552743
GC_00000188			214.737732657	210.781725888	425.912013536	154.333333333
GC_00000189			234.993421053	251.1875	447.248903509	179.527412281
GC_00000190			247.708920188	230.633802817	541.819248826	166.112676056
GC_00000191			256.210834553	235.736456808	467.360175695	182.645192777
GC_00000192			265.044096728	235.216690375	501.955903272	194.631104789
GC_00000193			225.591503268	209.533660131	464.469607843	172.189869281
GC_00000194			229.632124352	215.747841105	444.22193437	167.278929188
GC_00000195			260.992957746	237.561032864	508.732394366	223.093896714
GC_00000196			265.086060606	243.494545455	545.214545455	222.256969697
GC_00000197			306.724465558	249.750593824	510.959619952	198.604908947
GC_00000198			258.087619048	210.398095238	427.173333333	132.472380952
GC_00000199			174.413919414	178.379120879	397.915750916	136.673992674
GC_00000200			281.163522013	246.650943396	469.952830189	143.245283019
GC_00000201			293.705014749	272.902654867	546.261061947	207.255162242
GC_00000202			234.383282365	216.583078491	447.928644241	180.366972477
GC_00000203			249.428935628	236.65583174	463.2791587	168.063097514
GC_00000204			224.336065574	229.56010929	536.584699454	204.819672131
GC_00000205			207.736017897	208.868008949	459.539149888	148.078299776
GC_00000206			201.96347032	226.652968037	437.00913242	151.746575342
GC_00000207			235.156140351	230.930994152	431.115789474	161.470760234
GC_00000208			224.021592443	232.721997301	466.025641026	168.708502024
GC_00000209			188.039617486	205.698087432	424.117486339	158.889344262
GC_00000210			192.646356033	213.311827957	443.395459976	159.481481481
GC_00000211			227.495192308	172.633012821	445.100961538	164.458333333
GC_00000212			258.355727821	265.001722653	484.381567614	198.236864772
GC_00000213			261.775	241.291666667	496.664583333	156.75
GC_00000214			242.142276423	235.607317073	477.97804878	152.963414634
GC_00000215			223.157706093	222.623655914	460.302867384	163.155913978
GC_00000216			209.952861953	218.703703704	444.132996633	141.912457912
GC_00000217			284.085889571	241.597137014	502.066462168	184.098159509
GC_00000218			224.994444444	213.636507937	395.601587302	169.565079365
GC_00000219			254.013941698	270.788973384	495.339036755	186.878326996
GC_00000220			232.594871795	219	438.328205128	151.476923077
GC_00000221			236.271186441	242.73559322	479.395480226	193.406779661
GC_00000222			281.848484848	244.37979798	567.202020202	169.61010101
GC_00000223			223.580645161	205.985407066	450.235791091	162.398617512
GC_00000224			270.665300546	226.345628415	480.592896175	150.825136612
GC_00000225			242.885281385	221.356060606	409.163419913	143.281385281
GC_00000226			232.904330312	186.324269889	446.244712991	193.565961732
GC_00000227			201.91607565	206.174940898	486.541371158	192.608747045
GC_00000228			208.536407767	210.564724919	484.144012945	162.508090615
GC_00000229			258.814595661	229.24852071	561.222879684	170.106508876
GC_00000230			280.592696629	253.906367041	532.710674157	184.764044944
GC_00000231			212.576576577	230.599099099	446.927927928	188.306306306
GC_00000232			272.240601504	225.874686717	515.295739348	219.844611529
GC_00000233			268.154626109	290.954372624	514.556400507	189.577946768
GC_00000234			257.717948718	212.782051282	453.397435897	166.641025641
GC_00000235			256.11352657	246.560386473	551.439613527	175.882850242
GC_00000236			276.771878073	259.756145526	575.063913471	187.474926254
GC_00000237			265.965387509	242.691497366	514.614747931	166.683972912
GC_00000238			247.285460993	267.441489362	494.054964539	171.725177305
GC_00000239			213.038647343	239.009661836	486.47826087	175.821256039
GC_00000240			237.169650469	230.727195226	511.979539642	192.227621483
GC_00000241			241.994100295	264.401179941	510.398230088	162.168141593
GC_00000242			219.602150538	230.207885305	496.017921147	209.039426523
GC_00000243			223.298136646	220.511387164	483.227743271	152.370600414
GC_00000244			241.06614786	257.559014267	504.214007782	194.793774319
GC_00000245			224.546666667	247.36	529.36	215.573333333
GC_00000246			186.778830964	212.936808847	370.453396524	168.266982622
GC_00000247	WOPip4	99.902	264.288235294	230.100980392	461.150980392	157.53627451
GC_00000248			238.569047619	219.238095238	478.821428571	160.007142857
GC_00000249			261.297935103	225.036873156	475.252212389	184.862831858
GC_00000250			259.333333333	277.980392157	493.258578431	218.786764706
GC_00000251			198.61722488	214.765550239	442.051036683	155.114832536
GC_00000252			235.933333333	238.76	470.776666667	184.74
GC_00000253			252.844677138	247.146596859	540.87609075	187.02443281
GC_00000254			265.576779026	252.189138577	483.779026217	176.920411985
GC_00000255			248.67816092	251.308702791	495.998357964	187.279146141
GC_00000256			262.76056338	246.6842723	507.146713615	168.166666667
GC_00000257			236.678571429	223.698412698	431.53968254	145.111111111
GC_00000258			214.088709677	210.470430108	428.387768817	157.036290323
GC_00000259			233.444444444	264.753387534	545.303523035	187.739837398
GC_00000260			297.671580672	266.233415233	541.411138411	195.288288288
GC_00000261			200.853157122	196.437591777	452.66226138	172.765051395
GC_00000262			247.549118388	232.169605374	503.505457599	181.878253568
GC_00000263			243.021052632	184.743859649	459.484210526	155.147368421
GC_00000264			227.522497704	218.277318641	485.859504132	174.368227732
GC_00000265			257.362007168	247.745519713	532.616487455	185.989247312
GC_00000266			270.356807512	272.197183099	470.018779343	201.41314554
GC_00000267			277.3003663	285.644688645	561.26007326	188.10989011
GC_00000268			278.605870021	240.65408805	542.397274633	164.722222222
GC_00000269			221.061253561	224.522792023	506.495726496	191.789173789
GC_00000270			289.466666667	260.566666667	527.419444444	226.166666667
GC_00000271			233.59047619	278.097142857	577.84	179.977142857
GC_00000272			273.913857678	252.520599251	517.491573034	220.827715356
GC_00000273			257.246153846	270.547863248	519.364102564	187.433333333
GC_00000274			268.362235067	227.06743738	536.447976879	208.704238921
GC_00000275			247.086734694	266.69047619	501.585034014	188.734693878
GC_00000276			209.947772657	220.725038402	520.210445469	157.826420891
GC_00000277			228.500610501	222.934065934	493.48962149	180.597069597
GC_00000278			229.13379737	218.420726991	446.078886311	167.973704563
GC_00000279			259.646666667	222.1	454.45	191.408333333
GC_00000280			255.28452579	229.574043261	448.665557404	153.876317249
GC_00000281			237.796116505	243.03236246	549.974110032	185.96763754
GC_00000282	WOPip5	99.2063	548.80952381	582.753968254	1076.79365079	373.912698413
GC_00000283			229.354564756	210.430997877	437.840764331	162.1507431
GC_00000284			199.242424242	213.842424242	437.195151515	168.446060606
GC_00000285			218.048087432	221.154098361	461.709289617	175.416393443
GC_00000286			278.797138047	254.828282828	545.28030303	197.582491582
GC_00000287			265.573198198	267.968468468	508.993243243	193.948198198
GC_00000288			247.072327044	244.100628931	504.830188679	195.490566038
GC_00000289			261.569238378	248.169139466	497.270029674	179.260633037
GC_00000290			204.645589383	192.725214676	466.996096799	170.608899297
GC_00000291			269.333333333	255.507590759	535.749174917	201.400660066
GC_00000292			305.559006211	228.606625259	521.900621118	187.677018634
GC_00000293			219.743416102	214.177577126	474.593679458	164.613995485
GC_00000294			204.959866221	233.168338907	459.20735786	157.41025641
GC_00000295			233.318699187	193.653658537	476.421138211	151.507317073
GC_00000296			282.200803213	219.389558233	561.333333333	189.799196787
GC_00000297			253.022624434	224.297888386	452.954751131	152.400452489
GC_00000298			276.923390383	232.749796251	477.669111654	170.788101059
GC_00000299			206.794326241	226.829787234	549.929078014	167.808510638
GC_00000300			278.491392801	265.893583725	510.576682316	190.858372457
GC_00000301			252.012048193	219.424698795	445.522088353	168.919678715
GC_00000302			309.281746032	204.496031746	464.599206349	166.297619048
GC_00000303			244.751111111	233.561666667	522.685555556	187.24
GC_00000304			217.271853987	198.90778098	446.95581172	182.950048031
GC_00000305			195.946405229	199.367320261	462.414379085	158.090196078
GC_00000306			253.987878788	234.913939394	504.426666667	196.850909091
GC_00000307			249.514592934	239.234254992	493.986175115	163.536866359
GC_00000308			240.34137931	195.7	458.66091954	152.402298851
GC_00000309			218.042780749	231.317290553	470.128342246	178.572192513
GC_00000310			203.836601307	224.199346405	422.343137255	166.078431373
GC_00000311		30.5936	209.063926941	178.570776256	427.99086758	113.863013699
GC_00000312			247.373737374	238.961279461	516.954545455	180.552188552
GC_00000313			284.51558753	238.347721823	469.846522782	158.163069544
GC_00000314			266.018518519	277.907407407	485.03968254	189.830687831
GC_00000315			267.528899446	244.036421219	499.850356295	185.854315123
GC_00000316			294.598141696	241.716608595	542.319396051	210.759581882
GC_00000317			263.222459133	227.848614072	497.945984364	178.169154229
GC_00000318			244.666666667	206.896226415	481.088050314	182.833333333
GC_00000319			191.065176909	211.588454376	473.834264432	140.415270019
GC_00000320			183.807189542	255.437908497	580.800653595	166.781045752
GC_00000321			239.929292929	219.38989899	515.951515152	167.185858586
GC_00000322			238.276507277	220.861399861	441.795564796	174.680526681
GC_00000323			218.272667971	205.41161122	450.346379648	167.993476843
GC_00000324			275.448680352	270.133919844	521.327468231	188.717497556
GC_00000325			224.271929825	240.171052632	479.964912281	192.635964912
GC_00000326			240.833333333	231.07127193	474.770833333	186.494517544
GC_00000327			203.093240093	207.023310023	434.673659674	157.004662005
GC_00000328			256.012314225	237.394904459	508.130785563	184.345647558
GC_00000329			270.898907104	227.158469945	495.5	191.948087432
GC_00000330			241.074592075	242.498834499	501.762237762	164.473193473
GC_00000331			238.338416848	229.926652142	471.47567175	163.025417574
GC_00000332			255.190883191	196.626780627	456.062678063	160.273504274
GC_00000333			262.978805395	226.134874759	525.165703276	172.607899807
GC_00000334			213.492424242	197.488636364	439.272727273	144.40530303
GC_00000335			241.420612813	242.571030641	514.722376973	209.660167131
GC_00000336	WOPip4	99.9014	213.067061144	203.099605523	447.111439842	149.220907298
GC_00000337			253.237547893	232.58045977	518.08908046	163.855363985
GC_00000338			229.494535519	240.961748634	470.021857923	185.442622951
GC_00000339			251.618376068	242.387606838	486.670940171	182.360683761
GC_00000340			231.759649123	221.349122807	502.335526316	165.997807018
GC_00000341			262.188665175	232.65398956	434.929157345	148.703206562
GC_00000342			260.824289406	248.720930233	497.427648579	207.124031008
GC_00000343			225.074712644	233.287356322	428.183908046	178.091954023
GC_00000344			263.450034941	241.559049616	507.881201957	176.176100629
GC_00000345			275.340740741	257.38600823	524.44691358	211.144855967
GC_00000346			261.747196738	272.298674822	502.632008155	194.601427115
GC_00000347			264.476430976	280.747474747	554.193602694	211.594276094
GC_00000348			258.331677704	244.256622517	519.965231788	171.187637969
GC_00000349			236.882700422	208.911392405	450.378902954	162.633755274
GC_00000350			257.915406162	238.206722689	511.250980392	184.341176471
GC_00000351			200.776902887	194.128608924	418.795275591	164.472440945
GC_00000352			259.43654321	244.371851852	492.409382716	184.045925926
GC_00000353			247.400738689	235.343490305	506.396121884	183.530932595
GC_00000354			220.918996416	216.295340502	390.503942652	146.020071685
GC_00000355			255.003766478	194.783427495	449.589453861	192.630885122
GC_00000356			275.935483871	243.533333333	539.756989247	188.929032258
GC_00000357			278.700628931	268.503144654	543.522012579	165.286792453
GC_00000358			265.70030581	244.856269113	481.709480122	185.570336391
GC_00000359			205.113095238	200.833333333	420.458333333	134.035714286
GC_00000360			206.454545455	208.967424242	464.659848485	161.3
GC_00000361			223.87780188	226.346348518	438.739696312	157.557483731
GC_00000362			249.941176471	210.730392157	506.014705882	180.629901961
GC_00000363			248.495297806	256.792058516	500.941483804	179.75862069
GC_00000364			238.66894198	226.704209329	496.176336746	173.634812287
GC_00000365			214.626921039	222.127715951	459.196078431	159.016428193
GC_00000366			254.836781609	220.503448276	485.993678161	192.794252874
GC_00000367			245.04	224.122666667	514.416	188.616
GC_00000368			207.321543408	194.035369775	445.581636299	165.324044302
GC_00000369			179.905263158	191.778947368	406.863157895	145.992982456
GC_00000370			259.831346578	244.286975717	532.049448124	181.443708609
GC_00000371			221.331081081	223.585585586	440.826576577	136.295045045
GC_00000372			282.506908463	249.23402418	534.532815199	187.046632124
GC_00000373			289.59832636	258.887029289	531.287308229	187.218967922
GC_00000374			234.886120996	210.886120996	461.896797153	171.584816133
GC_00000375			210.092063492	225.749206349	459.984126984	142.044444444
GC_00000376			263.544802867	217.885304659	490.64874552	173.956989247
GC_00000377			316.733990148	238.830870279	561.553366174	226.566502463
GC_00000378			205.66	241.958333333	488.318333333	136.65
GC_00000379			219.730639731	162.32996633	394.178451178	147.885521886
GC_00000380			186.837009804	190.278186275	392.640931373	131.987745098
GC_00000381			274.325814536	252.22556391	478.456140351	198.551378446
GC_00000382			282.754385965	249.122807018	490.424561404	162.736842105
GC_00000383			245.401408451	247.82629108	506.018779343	179.73943662
GC_00000384			220.995633188	184.68558952	469.38573508	134.301310044
GC_00000385			254.110655738	259.831967213	500.979508197	165.478142077
GC_00000386			233.395953757	247.409922929	499.176300578	166.342485549
GC_00000387			255.568181818	233.984848485	420.378787879	123.098484848
GC_00000388			206.453586498	214.341772152	447.588607595	152.738396624
GC_00000389			217.136446886	227.381868132	429.468864469	178.311355311
GC_00000390			231.171717172	234.097643098	509.777777778	219.696969697
GC_00000391			240.603703704	242.962962963	559.188888889	215.222222222
GC_00000392			258.57183908	253.761494253	484.83045977	169.439655172
GC_00000393			213.713796058	197.075407027	490.598971722	147.084832905
GC_00000394			211.480555556	209.830555556	445.858333333	139.391666667
GC_00000395			255.644927536	250.863224638	517.585144928	191.998188406
GC_00000396			222.370946822	236.805447471	447.591439689	164.998702983
GC_00000397		1.65563	258.768763797	222.404525386	519.807395143	198.529801325
GC_00000398			219.688766114	209.164825046	448.016574586	165.885819521
GC_00000399			281.924034054	256.804846103	510.421087099	190.561231172
GC_00000400			250.693227092	244.855245684	536.767596282	179.002656042
GC_00000401			278.117216117	265.362637363	521.604395604	185.575091575
GC_00000402			225.98490566	228.134591195	482.950943396	175.291823899
GC_00000403			234.6	252.253333333	539.551111111	204.604444444
GC_00000404			224.284987277	238.735368957	507.781170483	141.921119593
GC_00000405	WOPip4	99.7567	221.447688564	214.238442822	425.296836983	174.489051095
GC_00000406			257.031616983	223.391147245	523.294489612	194.850045167
GC_00000407			223.517730496	219.988179669	408.789598109	138.475177305
GC_00000408			214.486338798	194.524590164	441.765027322	120.994535519
GC_00000409			226.183135705	181.511198946	466.441370224	172.644268775
GC_00000410			268.614583333	264.108333333	515.222916667	177.366666667
GC_00000411			243.269794721	240.995112414	478.711632454	166.084066471
GC_00000412			244.587828492	255.354771784	528.033886584	174.576071923
GC_00000413			234.11366539	213.259259259	488.203065134	181.251596424
GC_00000414			262.841458059	260.569609135	534.170838823	192.166007905
GC_00000415			237.057884232	223.78243513	517.872255489	186.632734531
GC_00000416			243.925	246.40952381	497.851190476	172.076190476
GC_00000417			268.196078431	244.297385621	492.825163399	180.235294118
GC_00000418			222.148448043	212.580296896	462.043184885	162.44534413
GC_00000419			215.585434174	215.599439776	523.240896359	158.31092437
GC_00000420			206.200542005	220.59530262	420.707317073	149.054200542
GC_00000421			272.933558559	252.551801802	526.369369369	200.662162162
GC_00000422			230.518867925	267.066037736	472.981132075	180.360062893
GC_00000423			231.546080965	233.2833764	419.854435831	160.919035314
GC_00000424			282.992784993	269.854256854	508.323232323	222.929292929
GC_00000425			216.140921409	245.452574526	465.284552846	188.338753388
GC_00000426	WOPip2	99.9253	239.120328849	232.173393124	500.39387145	164.550822123
GC_00000427			219.407604833	210.669509595	463.806680881	159.598791756
GC_00000428			242.390804598	226.337164751	495.148148148	177.745849298
GC_00000429			222.202408702	218.425407925	448.944055944	147.601398601
