samples	total_length	percent_complete	percent_redundancy	gc_content	num_genes	avg_gene_length	num_genes_per_kb	Nb_recruited_reads	Clade	SOC_85_90M	SOC_85_05M	SOC_84_05M	ASW_82_40M	ASW_82_05M	IOS_65_30M	IOS_65_05M	ASE_66_05M	ASE_66_30M	PSE_93_05M	PSE_93_35M	PSE_94_05M	ASE_67_05M	ASE_68_50M	ASE_68_05M	ASW_78_05M	PSE_96_05M	IOS_64_65M	IOS_64_05M	PSE_98_05M	PSW_112_05M	IOS_62_05M	PSE_99_05M	ASW_76_05M	ASE_70_05M	IOS_58_66M	IOS_57_05M	PSE_111_05M	PSE_111_90M	IOS_52_05M	IOS_52_75M	IOS_56_05M	PSE_100_05M	PSE_100_50M	ION_48_05M	PSW_124_05M	PSW_122_05M	PSW_125_05M	PSW_123_05M	ASW_72_05M	ASW_72_100M	PSE_102_40M	PSE_102_05M	PSE_110_05M	PSE_110_50M	PSW_128_05M	ION_45_05M	PSW_128_40M	PSE_109_05M	PSE_109_30M	ION_42_80M	ION_42_05M	PON_138_05M	PON_138_60M	PON_140_05M	ANW_141_05M	PON_137_05M	PON_137_40M	ION_41_60M	ION_41_05M	RED_34_05M	RED_34_60M	ION_39_25M	ION_38_25M	ION_38_05M	ION_36_05M	ION_36_17M	RED_33_05M	RED_32_05M	RED_32_80M	ANW_142_05M	RED_31_05M	PON_132_05M	ANW_148_05M	MED_30_05M	MED_30_70M	ANW_149_05M	ANW_146_05M	PON_133_05M	PON_133_45M	MED_18_60M	MED_18_05M	ANE_150_40M	ANE_150_05M	ANE_151_05M	ANE_151_80M	ANE_004_05M	ANE_004_40M	ANW_145_05M	MED_25_05M	MED_25_50M	MED_23_05M	ANE_152_05M	OSD_152	OSD_163	OSD_155	OSD_20	OSD_126	OSD_127	OSD_106	OSD_105	OSD_80	OSD_146
htcc1016	1297098	93.52517986	0	0.295970384	1353	923.9312639	1.043097746	18.51	Ia.3	0.566288417	1.153287243	0.607188038	0.910646277	0.689581226	0.010806064	0.011065821	0.039106757	0.038420278	0.064858029	0.055736661	0.020393413	0.049556792	0.009579254	0.010208804	0.008882566	0.015359	0.007725262	0.010605934	0.011747068	0.008121014	0.008839849	0.009550601	0.004068923	0.004446113	0.008333243	0.009195433	0.010376581	0.014019709	0.006804143	0.010098571	0.009445028	0.010030284	0.014552227	0.010745176	0.010068697	0.010221926	0.013261958	0.00623419	0.005709702	0.010485221	0.016318258	0.012799264	0.01242537	0.011330442	0.007971492	0.009427914	0.007754837	0.009521578	0.009695249	0.008227923	0.00965727	0.009348182	0.013466679	0.00860319	0.006144457	0.013432169	0.006142315	0.009052054	0.008625868	0.01061845	0.005736922	0.005179448	0.008830374	0.0103177	0.011491317	0.012808508	0.009528146	0.005192983	0.00503762	0.009334464	0.006481324	0.008680257	0.012417115	0.017050146	0.019285577	0.012869186	0.011697766	0.051074561	0.084472087	0.013274514	0.016473592	0.01324578	0.017894642	0.017354295	0.014152577	0.014856658	0.01682628	0.062734435	0.016651506	0.013066575	0.022184886	0.018677378	0.092182061	0.434458796	0.041503345	0.237991416	0.555651069	0.908813667	1.594351102	0.260680507	0.114105359	0.368240575
htcc1040	1274624	93.52517986	0	0.29546421	1340	916.7820896	1.05129042	22.49	Ia.3	0.694820981	1.419236777	0.738323152	1.121608348	0.844292247	0.012345719	0.013046812	0.046278088	0.046513903	0.069855006	0.059822801	0.024779699	0.048810834	0.011773391	0.012344784	0.010759897	0.017677267	0.009081405	0.012519091	0.013381557	0.009027661	0.010307035	0.010685556	0.004948822	0.005277282	0.009567114	0.010649952	0.01206135	0.016753895	0.0079826	0.01190721	0.011003182	0.011283559	0.0172399	0.01236116	0.011885127	0.011811484	0.015676061	0.007362656	0.006530101	0.012326606	0.019033441	0.015177255	0.014670786	0.013300143	0.009405556	0.010890833	0.009137062	0.010274606	0.010610204	0.009541447	0.0111337	0.010605597	0.015855266	0.009185493	0.006813521	0.015286349	0.006328824	0.01034778	0.009999516	0.011341123	0.006521806	0.00561281	0.009761091	0.011476468	0.012856162	0.014147043	0.010111819	0.005859169	0.005655672	0.010671581	0.007260153	0.009954735	0.014736748	0.021421761	0.02335719	0.015237141	0.013518647	0.063698656	0.104257427	0.01596054	0.020077038	0.015830252	0.021837233	0.021894285	0.017533652	0.018329278	0.020015606	0.077087873	0.021208716	0.016119912	0.027665409	0.023618883	0.10590838	0.521785587	0.050061791	0.282180201	0.686566532	1.147632764	1.968579805	0.3203863	0.13265775	0.481788987
htcc1062	1308759	93.52517986	0	0.296830815	1352	933.1264793	1.033039696	16.72	Ia.3	0.49432525	1.003507912	0.531571654	0.843490993	0.633483622	0.009932235	0.010520941	0.035933445	0.035653359	0.060974044	0.053108422	0.018929664	0.04581167	0.009034067	0.009724585	0.008554368	0.015158664	0.007424566	0.009974323	0.011240518	0.007504474	0.008141308	0.009084278	0.003830971	0.004139249	0.007936525	0.008594625	0.009673343	0.013073451	0.006416333	0.009455737	0.008755862	0.009465028	0.013532818	0.009969544	0.009463838	0.009642357	0.012481154	0.006019114	0.005176465	0.009944711	0.014694392	0.011808137	0.011934309	0.010830985	0.007561754	0.008613031	0.007527527	0.008930162	0.008977942	0.007678366	0.009039793	0.008571524	0.012395931	0.007645169	0.005627266	0.012537546	0.00507041	0.008505952	0.0081923	0.009562949	0.005292242	0.004755922	0.007879226	0.009170956	0.01027043	0.011464109	0.008853703	0.004833146	0.0046769	0.0086367	0.006033055	0.008444191	0.011809879	0.015798985	0.018357724	0.012125532	0.010948486	0.04741892	0.079264402	0.012377898	0.015590061	0.012731537	0.017324058	0.017316233	0.013610459	0.014879074	0.016596957	0.058621711	0.016012059	0.012253339	0.021013886	0.018174398	0.089452326	0.400966054	0.04566164	0.227082151	0.529541667	0.867099112	1.524570825	0.25098433	0.104310124	0.340516024
htcc1321	1320649	93.52517986	0	0.29036557	1390	918.3669065	1.052512818	13.21	Ia.1	0.011888658	0.018765134	0.01181207	0.018416683	0.012206862	0.04268494	0.047397488	0.058775271	0.06051155	0.0770924	0.051715331	0.079848764	0.024301402	0.029921996	0.032644948	0.039671258	0.064857012	0.03046874	0.042607241	0.049081498	0.030879874	0.039650194	0.038427196	0.017321917	0.017507298	0.036447368	0.041061042	0.044932424	0.043733423	0.033381793	0.040547279	0.041159526	0.042567284	0.04417586	0.049559881	0.045379508	0.047078377	0.062163812	0.030125667	0.027269249	0.034613002	0.067201301	0.060155336	0.053144002	0.044482418	0.034674805	0.044739677	0.033772824	0.041743046	0.039697204	0.033427387	0.046322936	0.04157836	0.032287111	0.040365612	0.033509386	0.060910443	0.008475471	0.037056977	0.042070611	0.052822188	0.013972022	0.024541191	0.043803893	0.055784353	0.064601198	0.069054326	0.045889724	0.02447806	0.01958166	0.032929454	0.028760498	0.035905112	0.04296259	0.066292399	0.06646828	0.04526583	0.037975078	0.059999433	0.036974218	0.045822765	0.057942089	0.050544927	0.067132338	0.064755281	0.046550886	0.052901664	0.048403617	0.037881816	0.08836516	0.036176977	0.097533142	0.040800523	0.0006731	0.060312004	0.000818315	0.003096153	0.006088202	0.006371508	0.018287038	0.003187596	0.002346517	0.007130953
htcc7211	1456888	93.52517986	0	0.290348332	1547	910.3632838	1.061852387	42.81	Ia.1	0.021314254	0.035711075	0.020521503	0.050387303	0.036480375	0.06083717	0.068792359	0.266571933	0.26623908	0.498269818	0.305291829	0.891118477	0.149831559	0.105151333	0.116424647	0.100564811	0.107643219	0.036473259	0.060206765	0.075049557	0.039000164	0.048639307	0.067837978	0.023948488	0.063700532	0.050415854	0.050318061	0.175418952	0.106204553	0.038409823	0.057389578	0.052496594	0.155099338	0.139255953	0.05488566	0.070840134	0.065298387	0.089803006	0.040756744	0.033285488	0.05330997	0.292613986	0.460991421	0.29589484	0.178819499	0.062567169	0.053399607	0.057612513	0.170646487	0.21221508	0.045836249	0.054251984	0.047903477	0.074047018	0.050533515	0.04947438	0.211756788	0.008835898	0.043893046	0.049947158	0.060310697	0.017124885	0.033891457	0.07818334	0.105003515	0.14177838	0.156424089	0.057138559	0.033921552	0.025375273	0.045657244	0.037306816	0.06122051	0.088435543	0.367618674	0.425969172	0.107941632	0.074140915	0.355343283	0.228714448	0.221550635	0.266018206	0.134530336	0.210759035	0.258078543	0.19160425	0.417993595	0.263312263	0.140207678	0.260790434	0.194394978	0.37198316	0.238635066	0.002485829	0.117141485	0.00105638	0.029314621	0.019577753	0.039194078	0.076034242	0.005498224	0.003185149	0.013557052
htcc7214	1375060	93.52517986	0	0.292410854	1429	929.580126	1.039227379	48.13	Ia.1	0.0245312	0.041245559	0.023598035	0.057329056	0.041665029	0.07011162	0.07656602	0.305008349	0.300990413	0.630072458	0.380301446	1.094351277	0.176041227	0.118126901	0.130092874	0.108540077	0.108412972	0.043105513	0.068358207	0.076459227	0.041655705	0.05552445	0.07298848	0.025891296	0.086354061	0.05779054	0.057249034	0.242397591	0.143497976	0.044146205	0.066004793	0.059453231	0.213847906	0.191004835	0.061805814	0.088701523	0.08122858	0.112329512	0.050519999	0.040502062	0.063674264	0.39444241	0.641997651	0.415469823	0.250771011	0.078891583	0.059130799	0.073010772	0.235389683	0.302218302	0.051219366	0.061271244	0.056127109	0.094523983	0.060335779	0.039754979	0.297884796	0.010536748	0.049850205	0.056171968	0.071274996	0.020612491	0.038214079	0.093870158	0.130241398	0.176567588	0.196592372	0.06639737	0.038180331	0.028671704	0.048000299	0.042522251	0.062600658	0.081075966	0.210346368	0.248579837	0.124923231	0.070576617	0.394358692	0.252662844	0.170873068	0.206681216	0.152708268	0.245067162	0.293186762	0.221801206	0.441603803	0.306528231	0.165946418	0.182579863	0.145966628	0.262988801	0.282867073	0.001965214	0.144075501	0.001955061	0.027034998	0.021756155	0.038239352	0.079287655	0.006837173	0.004937081	0.017279741
htcc7217	1433611	93.52517986	0	0.287973516	1496	925.5802139	1.043518779	41.71	Ia.1	0.023877965	0.039959165	0.022584287	0.05044875	0.036603987	0.065165988	0.072633116	0.268972215	0.26788356	0.477303205	0.29262876	0.863340478	0.144853356	0.106532483	0.118289816	0.106529818	0.109468364	0.03886804	0.062720606	0.075556342	0.040477455	0.050870936	0.07012885	0.025147815	0.063244715	0.053007216	0.052191638	0.176528863	0.108832382	0.039019829	0.05994531	0.053090135	0.154075607	0.141426102	0.054226922	0.074047607	0.068089762	0.095861948	0.042266773	0.034043094	0.055132771	0.276003473	0.423157658	0.294051483	0.180188206	0.064436064	0.053165502	0.059983516	0.170998863	0.213619388	0.048851127	0.056042934	0.047457198	0.07388272	0.053435251	0.051289885	0.212553901	0.008566395	0.04774555	0.052338468	0.067510834	0.018081217	0.039030551	0.082058086	0.104187101	0.136774381	0.151131044	0.064665674	0.037010696	0.027138075	0.047080284	0.040493185	0.062741996	0.086759199	0.299655032	0.351512035	0.108112724	0.074176238	0.338792977	0.219691161	0.207810066	0.250565747	0.134002808	0.208993	0.254378905	0.189484768	0.401075774	0.255121295	0.138677717	0.235304451	0.18274476	0.332188135	0.235849283	0.002577599	0.116451728	0.001695262	0.028875586	0.018232296	0.035664926	0.063770566	0.005655832	0.00274441	0.012768591
htcc8051	1395115	93.52517986	0	0.292029822	1458	924.4753086	1.045075137	73.15	Ia.1	0.059309167	0.11061177	0.055167409	0.179332079	0.134267701	0.075151538	0.081797739	0.8025525	0.745556544	2.655577944	1.70557396	0.294019323	1.022628475	0.212186023	0.238613254	0.084258195	0.10396144	0.042582375	0.07270224	0.072378781	0.039842064	0.056550646	0.055593626	0.025376146	0.055736828	0.059662841	0.058852327	0.105947824	0.12351142	0.042635367	0.069925689	0.059069631	0.102259067	0.188185455	0.058676876	0.080846177	0.072786723	0.108465793	0.047577998	0.035611999	0.063757376	0.692207136	0.413584072	0.294969062	0.215205596	0.061225047	0.058657026	0.059371205	0.147714944	0.20621535	0.055959636	0.060576068	0.050932926	0.173461706	0.062473613	0.040754857	0.232472633	0.011508452	0.054290092	0.056535879	0.085693952	0.022178686	0.041188137	0.096598888	0.147675688	0.221412985	0.255991935	0.077070996	0.040898715	0.029817692	0.049124838	0.044027142	0.05878661	0.070381641	0.169564735	0.188511528	0.120529514	0.065318051	1.341759683	1.290859269	0.252620498	0.294100277	0.183940068	0.312270743	0.480255124	0.406179811	0.456823752	0.666398915	0.538717878	0.260679725	0.361838651	0.357263361	0.789354159	0.005364886	0.900660868	0.007321871	0.168254194	0.072386739	0.143124992	0.305856132	0.015900364	0.00770075	0.040576728
htcc9022	1362422	93.52517986	0	0.295742409	1429	919.003499	1.048867385	56.56	Ia.1	0.054048548	0.094029136	0.051464222	0.150768542	0.112546127	0.06100373	0.066149598	0.609302316	0.545290676	2.123829207	1.451260383	0.201810012	1.041919898	0.119386001	0.133394195	0.066054917	0.09844127	0.036603526	0.060081745	0.068932582	0.037132188	0.048765782	0.052724893	0.022027344	0.037863917	0.049897692	0.050616369	0.077327296	0.088118801	0.036722223	0.05695267	0.050876381	0.079985064	0.120619162	0.052448019	0.06244265	0.058498621	0.083825352	0.037862089	0.029986187	0.051817406	0.44483266	0.263058707	0.205884719	0.155337896	0.048489821	0.050999303	0.046701762	0.115592519	0.155770359	0.046008363	0.052504086	0.044926908	0.121789933	0.058421859	0.037072978	0.180882575	0.012266788	0.047253587	0.04930267	0.07607209	0.019125781	0.037820014	0.074354513	0.105295342	0.149112498	0.17188722	0.072228509	0.035350666	0.025826914	0.041568013	0.03861747	0.053297212	0.060826053	0.173000068	0.18073342	0.097958232	0.054583849	1.003053425	1.013278119	0.188375833	0.218023156	0.124106155	0.205663839	0.308953195	0.256753602	0.321653785	0.444932227	0.543021147	0.24661548	0.284615636	0.332937485	0.496363108	0.007983401	1.017479076	0.008893513	0.155319169	0.073856796	0.133561165	0.275280548	0.019433653	0.009504437	0.038866153
htcc9565	1279674	93.52517986	0	0.289347328	1356	908.9513274	1.059644878	37.52	Ia.3	1.034062124	1.923141723	1.040290706	1.700328446	1.217315588	0.029217487	0.03241712	0.137984223	0.138698229	0.191341255	0.161234529	0.069600465	0.095840469	0.033202244	0.035960645	0.027967303	0.044844797	0.020561246	0.03068001	0.034426448	0.023027108	0.024413532	0.027811493	0.011792672	0.013709295	0.022986332	0.025390489	0.029996837	0.044198285	0.019239685	0.029116459	0.025849284	0.027151423	0.0463503	0.030129101	0.029397049	0.029485382	0.039259298	0.01874369	0.016360144	0.032059498	0.056402458	0.039883436	0.038236599	0.035290185	0.022969958	0.02529268	0.022469994	0.02607423	0.027087169	0.023578867	0.026691168	0.025629719	0.041504787	0.02235362	0.015943404	0.039762679	0.012117764	0.025966375	0.024205916	0.028124377	0.015700527	0.012917827	0.024693833	0.02975079	0.032557154	0.036611906	0.023621608	0.013581797	0.013150219	0.025625075	0.016676546	0.023580883	0.036748036	0.050558934	0.059508598	0.038874419	0.033565758	0.162740511	0.216308401	0.042718868	0.053795749	0.042447788	0.059340914	0.059597014	0.048783408	0.047207902	0.055056624	0.120551252	0.055432598	0.046796427	0.070658384	0.071964177	0.061340198	0.066094291	0.006193216	0.330042438	0.606582515	1.043659165	1.690286173	0.285457217	0.150292832	0.589577751
imcc9063	1284727	94.24460432	0	0.316706974	1408	866.3629261	1.095952681	2.51	IIIa	0.052750021	0.069000604	0.091713973	0.059298654	0.041932487	0.003730258	0.003153876	0.005348	0.005520648	0.007589174	0.008872578	0.007657828	0.002785394	0.003023301	0.003439342	0.002944627	0.00732551	0.003717253	0.00346547	0.00564517	0.004278701	0.002916132	0.005602992	0.002046857	0.001789498	0.002762628	0.003386218	0.003100319	0.004370977	0.002980909	0.003414038	0.003410793	0.003036052	0.004491226	0.00347154	0.003306701	0.003196251	0.003451609	0.001957586	0.001927066	0.003414339	0.002400781	0.002754143	0.003026376	0.002869337	0.002701797	0.003045689	0.002598425	0.002754182	0.00266719	0.002518274	0.002916146	0.003075635	0.003627614	0.002572445	0.00238345	0.003130378	0.003237569	0.002366944	0.002684247	0.002568258	0.002480993	0.001783536	0.002217036	0.002161145	0.002397496	0.00236953	0.002798507	0.001972064	0.002546179	0.003545256	0.003087634	0.004122266	0.004282577	0.011684812	0.008255482	0.003736847	0.003849614	0.030354511	0.007496382	0.005324457	0.006166963	0.004025639	0.005105	0.005262319	0.004619967	0.005846712	0.004542262	0.00820576	0.008852167	0.004759081	0.013116604	0.005859864	0.238405252	0.06101235	0.039725442	0.021146392	0.101242184	0.105853349	0.339950561	0.26228262	0.117702433	0.080069813
