sample	reference_genome	project	weighted_mean_cov	weighted_detection	total_length
BATS_SAMN08390924_10_2009_07_14	HIMB1413	BATS	16.39	0.8077	1348413
BATS_SAMN08390924_10_2009_07_14	HIMB1436	BATS	61.62121940249477	0.9104116024906392	1208525
BATS_SAMN08390924_10_2009_07_14	HIMB1437	BATS	39.67	0.9176	1221307
BATS_SAMN08390924_10_2009_07_14	HIMB1444	BATS	15.108247261744626	0.7674424765061496	1305448
BATS_SAMN08390924_10_2009_07_14	HIMB1456	BATS	17.591203488687384	0.8339081223268161	1353489
BATS_SAMN08390924_10_2009_07_14	HIMB1483	BATS	13.029938487707565	0.521273317041136	1207531
BATS_SAMN08390924_10_2009_07_14	HIMB2104	BATS	47.453886250024894	0.9574877760019384	1205064
BATS_SAMN08390924_10_2009_07_14	HIMB2187	BATS	42.01333734250677	0.8909639705956566	1188940
BATS_SAMN08390924_10_2009_07_14	HIMB2200	BATS	38.52479139987585	0.9185851583245008	1211436
BATS_SAMN08390924_10_2009_07_14	HIMB2201	BATS	17.25	0.7974999999999999	1359742
BATS_SAMN08390924_10_2009_07_14	HIMB2204	BATS	33.515782288697054	0.9336622074941054	1249462
BATS_SAMN08390924_10_2009_07_14	HIMB2226	BATS	43.27135638843937	0.914433283190461	1193257
BATS_SAMN08390924_10_2009_07_14	HIMB2250	BATS	19.93	0.8550999999999999	1330391
BATS_SAMN08390924_10_2009_07_14	HIMB2305	BATS	29.30806554886972	0.880401602430901	1366736
BATS_SAMN08390924_10_2009_07_14	HIMB83	BATS	14.26	0.7632	1395997
BATS_SAMN08390924_10_2009_07_14	HTCC7211	BATS	18.83	0.8917	1456888
BATS_SAMN08390924_10_2009_07_14	RS39	BATS	35.05	0.912	1200090
BATS_SAMN08390924_10_2009_07_14	RS40	BATS	44.63	0.9118	1378905
BATS_SAMN08390925_100_2009_11_07	FZCC0015	BATS	13.43	0.8163000000000001	1364101
BATS_SAMN08390925_100_2009_11_07	HIMB123	BATS	10.900552021244811	0.7871339414549	1271840
BATS_SAMN08390925_100_2009_11_07	HIMB1456	BATS	12.170090557810225	0.8336772285847909	1353489
BATS_SAMN08390925_100_2009_11_07	HIMB1483	BATS	10.838068879391088	0.5654630429363718	1207531
BATS_SAMN08390925_100_2009_11_07	HIMB2250	BATS	12.73	0.8418	1330391
BATS_SAMN08390925_100_2009_11_07	HIMB83	BATS	10.06	0.7862	1395997
BGS_SAMN15782437_1_2013_08_26	HTCC1002	BGS	22.67219923296237	0.8249991284176491	1328618
BGS_SAMN15782437_1_2013_08_26	HTCC9565	BGS	10.457556104132772	0.6376511567008473	1279674
BGS_SAMN15782437_1_2013_08_26	NP1	BGS	36.5	0.901	1365705
BGS_SAMN15782438_1_2013_08_27	HTCC1002	BGS	25.323423817079103	0.8396954445145255	1328618
BGS_SAMN15782438_1_2013_08_27	HTCC8051	BGS	13.0	0.8253	1395018
BGS_SAMN15782438_1_2013_08_27	HTCC9022	BGS	10.272984131477306	0.7058801243354157	1358744
BGS_SAMN15782438_1_2013_08_27	HTCC9565	BGS	14.482584822384451	0.7270631478017058	1279674
BGS_SAMN15782438_1_2013_08_27	NP1	BGS	42.65	0.9143	1365705
BGS_SAMN15782439_25_2013_08_27	HTCC1002	BGS	17.07090297173454	0.8071310198266168	1328618
BGS_SAMN15782439_25_2013_08_27	NP1	BGS	28.47	0.8975000000000001	1365705
BGS_SAMN15782440_5_2013_08_28	HTCC9022	BGS	16.10856114176033	0.8789347727018482	1358744
BGS_SAMN15782440_5_2013_08_28	NP1	BGS	11.26	0.8736	1365705
BGS_SAMN15782442_5_2013_08_29	HTCC8051	BGS	17.38	0.8261	1395018
BGS_SAMN15782442_5_2013_08_29	HTCC9022	BGS	26.44521173524961	0.8805609487879982	1358744
BGS_SAMN15782442_5_2013_08_29	NP1	BGS	11.41	0.8637000000000001	1365705
BGS_SAMN15782443_5_2013_08_30	HTCC8051	BGS	28.29	0.8435999999999999	1395018
BGS_SAMN15782443_5_2013_08_30	HTCC9022	BGS	32.82378572858463	0.8716984342893144	1358744
BGS_SAMN15782443_5_2013_08_30	NP1	BGS	10.07	0.8578	1365705
BGS_SAMN15782444_40_2013_08_30	NP1	BGS	10.57	0.8367	1365705
BGS_SAMN15782445_5_2013_08_31	HTCC8051	BGS	13.820000000000002	0.7610000000000001	1395018
BGS_SAMN15782445_5_2013_08_31	HTCC9022	BGS	16.555651631212353	0.8141231086945001	1358744
BGS_SAMN15782446_40_2013_08_31	HTCC1002	BGS	27.444669769264003	0.8444940463699876	1328618
BGS_SAMN15782446_40_2013_08_31	HTCC9565	BGS	12.251729987481186	0.6433251589858042	1279674
BGS_SAMN15782446_40_2013_08_31	NP1	BGS	41.28	0.9033	1365705
BGS_SAMN15782447_5_2013_09_01	NP1	BGS	10.81	0.8614	1365705
BGS_SAMN15782448_25_2013_09_01	HTCC1002	BGS	39.59270371656864	0.8774785281397662	1328618
BGS_SAMN15782448_25_2013_09_01	HTCC9565	BGS	13.21561635619697	0.5539260768758293	1279674
BGS_SAMN15782448_25_2013_09_01	IMCC9063	BGS	10.58	0.9209	1284727
BGS_SAMN15782448_25_2013_09_01	NP1	BGS	56.15	0.9031	1365705
BGS_SAMN15782449_5_2013_09_02	HIMB058	BGS	13.53519540423784	0.7508364578058901	1115049
BGS_SAMN15782453_5_2013_09_06	HIMB058	BGS	13.403846720260724	0.7170066713480753	1115049
BGS_SAMN15782453_5_2013_09_06	HIMB1436	BGS	16.531723951759375	0.8954173411389917	1208525
BGS_SAMN15782453_5_2013_09_06	HIMB2187	BGS	11.602062946826583	0.8425014362373208	1188940
BGS_SAMN15782453_5_2013_09_06	HIMB2226	BGS	11.217648620540253	0.8247082154975836	1193257
BGS_SAMN15782453_5_2013_09_06	HIMB2305	BGS	11.250134965421267	0.8108690262054998	1366736
BGS_SAMN15782453_5_2013_09_06	RS40	BGS	19.47	0.8987	1378905
BGS_SAMN15782455_5_2018_09_25	HTCC8051	BGS	13.909999999999998	0.795	1395018
BGS_SAMN15782455_5_2018_09_25	HTCC9022	BGS	16.43831196457905	0.8538703134659655	1358744
BGS_SAMN15782456_5_2018_09_26	HTCC9022	BGS	11.173956682053426	0.8450695426069958	1358744
BGS_SAMN15782458_5_2018_09_27	HIMB1483	BGS	15.53057701872664	0.5605157757440595	1207531
BGS_SAMN15782458_5_2018_09_27	HTCC7211	BGS	13.44	0.722	1456888
BGS_SAMN15782458_5_2018_09_27	HTCC7214	BGS	13.69	0.7549	1375060
BGS_SAMN15782458_5_2018_09_27	HTCC8051	BGS	25.01	0.9075	1395018
BGS_SAMN15782458_5_2018_09_27	HTCC9022	BGS	21.479475587454296	0.7875291076170345	1358744
BGS_SAMN15782475_5_2018_10_05	HIMB1437	BGS	10.57	0.8728	1221307
BGS_SAMN15782475_5_2018_10_05	HIMB2104	BGS	12.951847329270478	0.9208363768231396	1205064
BGS_SAMN15782475_5_2018_10_05	HIMB2200	BGS	10.692039395114556	0.8704458581963884	1211436
BGS_SAMN15782475_5_2018_10_05	RS39	BGS	10.34	0.8882000000000001	1200090
BGS_SAMN15782475_5_2018_10_05	RS40	BGS	21.94	0.9166	1378905
BGS_SAMN15782476_5_2018_10_06	RS40	BGS	17.07	0.9042	1378905
BGS_SAMN15782477_5_2018_10_06	RS40	BGS	11.96	0.8946	1378905
BGS_SAMN15782478_5_2018_10_07	FZCC0015	BGS	22.04	0.8510999999999999	1364101
BGS_SAMN15782478_5_2018_10_07	HIMB058	BGS	11.515051193624677	0.7256161932793985	1115049
BGS_SAMN15782478_5_2018_10_07	HIMB123	BGS	19.659101455371744	0.8376582447477671	1271840
BGS_SAMN15782478_5_2018_10_07	HIMB1409	BGS	17.043835357223095	0.90401731603835	1313059
BGS_SAMN15782478_5_2018_10_07	HIMB1413	BGS	15.04	0.8641999999999999	1348413
BGS_SAMN15782478_5_2018_10_07	HIMB1437	BGS	10.56	0.8754	1221307
BGS_SAMN15782478_5_2018_10_07	HIMB1444	BGS	13.31897351928227	0.8228480546908035	1305448
BGS_SAMN15782478_5_2018_10_07	HIMB1456	BGS	20.386049736939125	0.8909107657690606	1353489
BGS_SAMN15782478_5_2018_10_07	HIMB2104	BGS	13.187527558702277	0.919887741232001	1205064
BGS_SAMN15782478_5_2018_10_07	HIMB2200	BGS	10.86607098022512	0.8720125355115748	1211436
BGS_SAMN15782478_5_2018_10_07	HIMB2201	BGS	13.86	0.8411	1359742
BGS_SAMN15782478_5_2018_10_07	HIMB2250	BGS	23.2	0.8999	1330391
BGS_SAMN15782478_5_2018_10_07	HIMB2305	BGS	18.96795950542021	0.8046695413744864	1366736
BGS_SAMN15782478_5_2018_10_07	HIMB83	BGS	16.97	0.7973000000000001	1395997
BGS_SAMN15782478_5_2018_10_07	RS40	BGS	45.06	0.9331	1378905
BGS_SAMN15782479_5_2018_10_07	RS40	BGS	12.85	0.8928	1378905
BGS_SAMN15782480_5_2018_10_08	HIMB1436	BGS	14.403819331830125	0.902645544858402	1208525
BGS_SAMN15782480_5_2018_10_08	HIMB2187	BGS	10.135224608474775	0.8465990310696925	1188940
BGS_SAMN15782480_5_2018_10_08	RS40	BGS	15.519999999999998	0.9019	1378905
BGS_SAMN15782481_5_2018_10_08	RS40	BGS	13.079999999999998	0.8935	1378905
BGS_SAMN15782482_5_2018_10_09	HIMB1436	BGS	17.195740649800378	0.9083042475745224	1208525
BGS_SAMN15782482_5_2018_10_09	HIMB2187	BGS	12.29553429104917	0.8613062465725773	1188940
BGS_SAMN15782482_5_2018_10_09	HIMB2226	BGS	11.074768419544156	0.828251328255355	1193257
BGS_SAMN15782482_5_2018_10_09	HIMB2250	BGS	11.47	0.867	1330391
BGS_SAMN15782482_5_2018_10_09	RS40	BGS	14.980000000000002	0.8985999999999998	1378905
BGS_SAMN15782483_5_2018_10_10	FZCC0015	BGS	11.62	0.8026	1364101
BGS_SAMN15782483_5_2018_10_10	HIMB123	BGS	10.40105937688703	0.7844524460623978	1271840
BGS_SAMN15782483_5_2018_10_10	HIMB1409	BGS	11.115002042254003	0.8844353243761324	1313059
BGS_SAMN15782483_5_2018_10_10	HIMB1436	BGS	16.612815875219795	0.9083308441281728	1208525
BGS_SAMN15782483_5_2018_10_10	HIMB1456	BGS	12.3650498023848	0.8539432645333652	1353489
BGS_SAMN15782483_5_2018_10_10	HIMB2187	BGS	12.046771578044307	0.8324901044627987	1188940
BGS_SAMN15782483_5_2018_10_10	HIMB2226	BGS	11.574920800799829	0.8457346866601243	1193257
BGS_SAMN15782483_5_2018_10_10	HIMB2250	BGS	14.340000000000002	0.8784	1330391
BGS_SAMN15782484_5_2018_10_10	HIMB1436	BGS	10.06467060590389	0.8746352049812789	1208525
BGS_SAMN15782485_5_2018_10_11	HIMB1436	BGS	16.58403571461079	0.9204472226888148	1208525
BGS_SAMN15782485_5_2018_10_11	HIMB2187	BGS	12.391410802900062	0.8500244708732149	1188940
BGS_SAMN15782485_5_2018_10_11	HIMB2226	BGS	11.949238093721638	0.8582111728655268	1193257
BGS_SAMN15782485_5_2018_10_11	RS39	BGS	11.39	0.8953999999999999	1200090
BGS_SAMN15782485_5_2018_10_11	RS40	BGS	12.78	0.9041	1378905
BGS_SAMN15782490_5_2018_10_13	HIMB1436	BGS	12.660526678719927	0.8913873323265964	1208525
BGS_SAMN15782507_5_2018_10_22	FZCC0015	BGS	15.89	0.8376000000000001	1364101
BGS_SAMN15782507_5_2018_10_22	HIMB123	BGS	13.314450209145804	0.8299229105862372	1271840
BGS_SAMN15782507_5_2018_10_22	HIMB1409	BGS	11.106934773281322	0.8406828148468576	1313059
BGS_SAMN15782507_5_2018_10_22	HIMB1413	BGS	11.17	0.8272000000000002	1348413
BGS_SAMN15782507_5_2018_10_22	HIMB1444	BGS	10.04492955904793	0.7884836565684732	1305448
BGS_SAMN15782507_5_2018_10_22	HIMB1456	BGS	14.915891591169194	0.8605039759392208	1353489
BGS_SAMN15782507_5_2018_10_22	HIMB2201	BGS	11.31	0.8325	1359742
BGS_SAMN15782507_5_2018_10_22	HIMB2250	BGS	15.0	0.8589	1330391
BGS_SAMN15782507_5_2018_10_22	HIMB83	BGS	13.46	0.8295	1395997
BGS_SAMN15782507_5_2018_10_22	HTCC7211	BGS	10.52	0.8376	1456888
BGS_SAMN15782507_5_2018_10_22	HTCC7214	BGS	10.91	0.872	1375060
BGS_SAMN15782507_5_2018_10_22	HTCC8051	BGS	18.09	0.9083	1395018
BGS_SAMN15782507_5_2018_10_22	HTCC9022	BGS	10.02735793332666	0.7008534377174803	1358744
BGS_SAMN15782508_5_2018_10_23	HTCC8051	BGS	14.949999999999998	0.8877	1395018
BGS_SAMN15782508_5_2018_10_23	HTCC9022	BGS	10.94419573912378	0.7466553616575308	1358744
BGS_SAMN15782509_5_2018_10_23	HTCC1002	BGS	10.267895440977016	0.8165210199620959	1328618
BGS_SAMN15782509_5_2018_10_23	HTCC7211	BGS	13.21	0.8067	1456888
BGS_SAMN15782509_5_2018_10_23	HTCC7214	BGS	14.089999999999998	0.8497	1375060
BGS_SAMN15782509_5_2018_10_23	HTCC8051	BGS	65.18	0.9462	1395018
BGS_SAMN15782509_5_2018_10_23	HTCC9022	BGS	51.96385615907043	0.8474122390972839	1358744
BGS_SAMN15782509_5_2018_10_23	NP1	BGS	15.45	0.8705	1365705
BGS_SAMN15782510_5_2018_10_24	HTCC8051	BGS	34.84	0.9288	1395018
BGS_SAMN15782510_5_2018_10_24	HTCC9022	BGS	27.594124757570228	0.8116483474444046	1358744
BGS_SAMN15782510_5_2018_10_24	NP1	BGS	13.22	0.8587999999999999	1365705
BGS_SAMN15782511_5_2018_10_24	HTCC8051	BGS	43.18	0.9359	1395018
BGS_SAMN15782511_5_2018_10_24	HTCC9022	BGS	34.762653392103296	0.8368654354315457	1358744
BGS_SAMN15782511_5_2018_10_24	NP1	BGS	13.55	0.8656000000000001	1365705
BGS_SAMN15782512_5_2018_10_25	HTCC8051	BGS	21.51	0.8999	1395018
BGS_SAMN15782512_5_2018_10_25	HTCC9022	BGS	16.84105432556832	0.7767937756781262	1358744
BGS_SAMN15782513_5_2018_10_25	HTCC1002	BGS	19.024103019076964	0.8292156774181895	1328618
BGS_SAMN15782513_5_2018_10_25	HTCC8051	BGS	45.56	0.939	1395018
BGS_SAMN15782513_5_2018_10_25	HTCC9022	BGS	35.54597560226209	0.8199442270508647	1358744
BGS_SAMN15782513_5_2018_10_25	HTCC9565	BGS	17.220863497265707	0.7163684105483115	1279674
BGS_SAMN15782513_5_2018_10_25	NP1	BGS	31.8	0.9031	1365705
BGS_SAMN15782514_5_2018_10_26	HTCC1002	BGS	19.28320087865737	0.8343397082532377	1328618
BGS_SAMN15782514_5_2018_10_26	HTCC8051	BGS	49.52	0.9443	1395018
BGS_SAMN15782514_5_2018_10_26	HTCC9022	BGS	38.57108576582491	0.8166543108930012	1358744
BGS_SAMN15782514_5_2018_10_26	HTCC9565	BGS	17.642236546182854	0.7161961140102869	1279674
BGS_SAMN15782514_5_2018_10_26	NP1	BGS	32.47	0.9061	1365705
BGS_SAMN15782515_5_2018_10_26	HTCC1002	BGS	15.01930124761218	0.8450776353323529	1328618
BGS_SAMN15782515_5_2018_10_26	HTCC8051	BGS	40.79	0.9378	1395018
BGS_SAMN15782515_5_2018_10_26	HTCC9022	BGS	33.56438828285534	0.8307197229205796	1358744
BGS_SAMN15782515_5_2018_10_26	HTCC9565	BGS	12.933675100064548	0.6941694832433886	1279674
BGS_SAMN15782515_5_2018_10_26	NP1	BGS	23.93	0.8928	1365705
BGS_SAMN15782516_5_2018_10_27	HTCC8051	BGS	15.75	0.8820999999999999	1395018
BGS_SAMN15782516_5_2018_10_27	HTCC9022	BGS	13.189973697620744	0.7806449722685068	1358744
BGS_SAMN15782516_5_2018_10_27	NP1	BGS	11.22	0.8642	1365705
BGS_SAMN15782517_5_2018_10_27	HTCC8051	BGS	21.39	0.8970999999999999	1395018
BGS_SAMN15782517_5_2018_10_27	HTCC9022	BGS	17.66554885821023	0.7900600526662859	1358744
BGS_SAMN15782517_5_2018_10_27	NP1	BGS	15.18	0.8717999999999999	1365705
BGS_SAMN15782520_6_2011_09_30	FZCC0015	BGS	11.37	0.8329	1364101
BGS_SAMN15782531_3_2011_10_12	HIMB1436	BGS	14.845207851554582	0.9131315772532632	1208525
BGS_SAMN15782551_7_2018_04_28	HIMB1436	BGS	12.025760894313317	0.883760991870255	1208525
BGS_SAMN15782602_7_2018_05_05	HIMB2104	BGS	10.086388712134791	0.9009418089827594	1205064
BGS_SAMN15782631_2_2018_05_08	HIMB1402	BGS	10.680322985444832	0.8981979532722585	1177245
BGS_SAMN15782631_2_2018_05_08	HIMB1436	BGS	12.074743287892264	0.8895197733600877	1208525
BGS_SAMN15782631_2_2018_05_08	HIMB1437	BGS	12.0	0.9012	1221307
BGS_SAMN15782631_2_2018_05_08	HIMB2104	BGS	15.523001375860536	0.934827661850325	1205064
BGS_SAMN15782631_2_2018_05_08	HIMB2200	BGS	13.055617776424013	0.9206366143981192	1211436
BGS_SAMN15782631_2_2018_05_08	HIMB2204	BGS	10.339612325945089	0.8637104479367921	1249462
BGS_SAMN15782644_7_2018_05_11	HIMB2250	BGS	10.05	0.8509	1330391
BGS_SAMN15782655_7_2018_05_13	HIMB2104	BGS	10.744360204935177	0.9146293635026852	1205064
BGS_SAMN15782657_2_2018_05_13	HIMB1436	BGS	10.074838372065122	0.8846200676858154	1208525
BGS_SAMN15782657_2_2018_05_13	HIMB2104	BGS	11.41000052860263	0.9137151707295216	1205064
BGS_SAMN15782661_3_2018_05_13	HIMB1436	BGS	11.7601557088186	0.8944922105045408	1208525
BGS_SAMN15782661_3_2018_05_13	HIMB1437	BGS	10.15	0.8723	1221307
BGS_SAMN15782661_3_2018_05_13	HIMB1456	BGS	10.529137463355816	0.8495996758747208	1353489
BGS_SAMN15782661_3_2018_05_13	HIMB2104	BGS	14.138891585841083	0.9356775407779172	1205064
BGS_SAMN15782661_3_2018_05_13	HIMB2200	BGS	11.34906123583912	0.9124088545329676	1211436
BGS_SAMN15782661_3_2018_05_13	HIMB2250	BGS	11.78	0.8641	1330391
BGS_SAMN15782666_7_2018_05_14	FZCC0015	BGS	13.91	0.8159	1364101
BGS_SAMN15782666_7_2018_05_14	HIMB058	BGS	10.810062855497833	0.5915357127444624	1115049
BGS_SAMN15782666_7_2018_05_14	HIMB123	BGS	12.3326060855139	0.8055243259372248	1271840
BGS_SAMN15782666_7_2018_05_14	HIMB1402	BGS	13.25447119758419	0.9170796212343224	1177245
BGS_SAMN15782666_7_2018_05_14	HIMB1409	BGS	13.88431783473553	0.9091013646606892	1313059
BGS_SAMN15782666_7_2018_05_14	HIMB1413	BGS	12.19	0.8782	1348413
BGS_SAMN15782666_7_2018_05_14	HIMB1436	BGS	14.771125408245588	0.913386006081794	1208525
BGS_SAMN15782666_7_2018_05_14	HIMB1437	BGS	14.670000000000002	0.8975999999999998	1221307
BGS_SAMN15782666_7_2018_05_14	HIMB1444	BGS	11.103172589026908	0.8361455285082209	1305448
BGS_SAMN15782666_7_2018_05_14	HIMB1456	BGS	14.889785618508906	0.8800668695054041	1353489
BGS_SAMN15782666_7_2018_05_14	HIMB2104	BGS	20.443069978026063	0.946730010024364	1205064
BGS_SAMN15782666_7_2018_05_14	HIMB2187	BGS	10.8623381667704	0.8587942207344358	1188940
BGS_SAMN15782666_7_2018_05_14	HIMB2200	BGS	16.54001057521817	0.9432071033880453	1211436
BGS_SAMN15782666_7_2018_05_14	HIMB2201	BGS	10.93	0.8236999999999999	1359742
BGS_SAMN15782666_7_2018_05_14	HIMB2204	BGS	12.532939889328368	0.8587017309850159	1249462
BGS_SAMN15782666_7_2018_05_14	HIMB2226	BGS	10.418957542256194	0.8552847317887095	1193257
BGS_SAMN15782666_7_2018_05_14	HIMB2250	BGS	17.48	0.8960000000000001	1330391
BGS_SAMN15782666_7_2018_05_14	HIMB83	BGS	10.89	0.7935	1395997
BGS_SAMN15782666_7_2018_05_14	RS40	BGS	10.56	0.8914	1378905
BGS_SAMN15782669_7_2018_05_15	FZCC0015	BGS	10.36	0.7883	1364101
BGS_SAMN15782669_7_2018_05_15	HIMB1409	BGS	10.156108390932928	0.8516015143188539	1313059
BGS_SAMN15782669_7_2018_05_15	HIMB1456	BGS	11.38069541478357	0.8382284970620375	1353489
BGS_SAMN15782669_7_2018_05_15	HIMB2250	BGS	12.93	0.853	1330391
BGS_SAMN15782709_7_2018_05_24	HIMB1402	BGS	10.278070975030683	0.8850899090673564	1177245
BGS_SAMN15782709_7_2018_05_24	HIMB1437	BGS	11.3	0.8811999999999999	1221307
BGS_SAMN15782709_7_2018_05_24	HIMB2104	BGS	15.948573179515776	0.9357713776197778	1205064
BGS_SAMN15782709_7_2018_05_24	HIMB2200	BGS	12.8991401924658	0.9231967593005326	1211436
BGS_SAMN15782714_7_2018_05_25	HIMB2104	BGS	12.31309767531019	0.9171095365059448	1205064
BGS_SAMN15782715_7_2018_05_25	HIMB2104	BGS	14.052780234078854	0.9314402895613842	1205064
BGS_SAMN15782715_7_2018_05_25	HIMB2200	BGS	11.139581118688897	0.909081811172856	1211436
BGS_SAMN15782726_7_2018_05_26	HIMB2104	BGS	10.439400129785636	0.8950691662849442	1205064
BGS_SAMN15782727_7_2018_05_27	HIMB2104	BGS	10.313534486135175	0.9053844351005425	1205064
BGS_SAMN15782729_7_2018_05_27	HIMB1402	BGS	13.394268231336724	0.9113851140586708	1177245
BGS_SAMN15782729_7_2018_05_27	HIMB1437	BGS	14.97	0.9046	1221307
BGS_SAMN15782729_7_2018_05_27	HIMB2104	BGS	21.212958697629336	0.950700033359224	1205064
BGS_SAMN15782729_7_2018_05_27	HIMB2200	BGS	16.733073800927166	0.9422144457486816	1211436
