query_genome_name	query_genome_length	target_genome_name	target_genome_length	matching_nucleotides	average_identity
TARA_ANE_MAG_00094	2084911	TARA_ANW_MAG_00070	2068611	6169	97.632846
TARA_ANE_MAG_00094	2084911	TARA_PSE_MAG_00124	2025031	450874	99.837942
TARA_ANE_MAG_00094	2084911	TARA_PSW_MAG_00124	2516850	1984	100.000000
TARA_ANE_MAG_00094	2084911	TARA_ION_MAG_00061	3384611	1793	100.000000
TARA_ANE_MAG_00094	2084911	TARA_ANW_MAG_00020	3989233	963214	99.980351
TARA_PSW_MAG_00110	2214525	TARA_ANW_MAG_00014	2774374	4538	99.248991
TARA_PSE_MAG_00025	2973798	TARA_MED_MAG_00017	2869724	117126	97.818496
TARA_ION_MAG_00025	6266622	TARA_IOS_MAG_00003	4064019	1960	99.850000
TARA_MED_MAG_00141	14084407	TARA_ASW_MAG_00040	2459457	1053216	99.117908
TARA_MED_MAG_00141	14084407	TARA_ANE_MAG_00091	11715560	4984635	99.060608
TARA_MED_MAG_00141	14084407	TARA_PSE_MAG_00137	12785141	5369164	99.022349
TARA_MED_MAG_00141	14084407	TARA_IOS_MAG_00078	2099809	788670	99.120590
TARA_MED_MAG_00141	14084407	TARA_IOS_MAG_00077	2022702	544485	98.921245
TARA_MED_MAG_00141	14084407	TARA_PON_MAG_00079	6126826	2844020	99.168660
TARA_ASE_MAG_00026	8405240	TARA_IOS_MAG_00073	4370095	1150942	98.964617
TARA_RED_MAG_00029	1969490	TARA_PON_MAG_00050	2090795	1217	99.510000
TARA_RED_MAG_00029	1969490	TARA_IOS_MAG_00056	1337953	779737	99.256204
TARA_RED_MAG_00029	1969490	TARA_ION_MAG_00041	2015395	3378	99.470000
TARA_ION_MAG_00046	847736	TARA_RED_MAG_00068	1088927	340078	99.187017
TARA_RED_MAG_00046	1522052	TARA_PON_MAG_00036	1543517	97427	98.387256
TARA_PSE_MAG_00029	3108578	TARA_ASW_MAG_00006	3084735	777	99.870000
TARA_PSE_MAG_00029	3108578	TARA_ION_MAG_00063	2931211	2685382	99.864972
TARA_PSE_MAG_00029	3108578	TARA_PSW_MAG_00134	2227252	2646	99.960000
TARA_PSE_MAG_00029	3108578	TARA_IOS_MAG_00008	3359870	3068073	99.936230
TARA_PON_MAG_00074	8988534	TARA_ANE_MAG_00086	7749457	4976247	99.215056
TARA_PON_MAG_00074	8988534	TARA_ASW_MAG_00035	9066357	2730781	98.269104
TARA_PON_MAG_00074	8988534	TARA_ANE_MAG_00090	5559939	2833	99.650000
TARA_PON_MAG_00074	8988534	TARA_ANW_MAG_00071	8349014	1210	96.620000
TARA_PON_MAG_00074	8988534	TARA_ASE_MAG_00024	5868632	3814487	99.266929
TARA_PON_MAG_00074	8988534	TARA_PSE_MAG_00140	12657102	892	97.660000
TARA_PON_MAG_00089	3256010	TARA_ASW_MAG_00049	4462837	155591	99.081947
TARA_PSE_MAG_00145	3014065	TARA_PON_MAG_00019	2458233	3431	99.480000
TARA_ANE_MAG_00065	1552464	TARA_ASE_MAG_00011	1465240	804862	99.074021
TARA_ANE_MAG_00065	1552464	TARA_MED_MAG_00053	1787286	46953	94.049945
TARA_MED_MAG_00021	2315206	TARA_RED_MAG_00058	2210067	16800	98.542568
TARA_MED_MAG_00021	2315206	TARA_ASW_MAG_00005	1992647	5680	98.910000
TARA_MED_MAG_00021	2315206	TARA_IOS_MAG_00050	1469026	14360	98.371565
TARA_MED_MAG_00021	2315206	TARA_ANW_MAG_00012	2187424	10716	98.024412
TARA_ANE_MAG_00098	2344935	TARA_ANW_MAG_00083	2134347	166834	99.182791
TARA_ANE_MAG_00098	2344935	TARA_ANW_MAG_00085	2258924	293951	99.067138
TARA_ANE_MAG_00098	2344935	TARA_ASE_MAG_00035	2004217	303226	99.047817
TARA_ANE_MAG_00098	2344935	TARA_ASE_MAG_00033	2625458	94494	99.116265
TARA_ANE_MAG_00098	2344935	TARA_ION_MAG_00073	4042279	276015	98.992252
TARA_ANE_MAG_00098	2344935	TARA_IOS_MAG_00068	11476843	5232	98.950367
TARA_ANE_MAG_00098	2344935	TARA_PSW_MAG_00133	4053059	254876	98.977127
TARA_ANE_MAG_00098	2344935	TARA_IOS_MAG_00076	2867483	268646	98.956329
TARA_ANE_MAG_00098	2344935	TARA_PSE_MAG_00147	2737533	273241	99.032390
TARA_ANE_MAG_00098	2344935	TARA_IOS_MAG_00075	2967592	210702	99.177783
TARA_PSE_MAG_00008	3594348	TARA_PON_MAG_00021	3638235	3522913	99.966634
TARA_PSE_MAG_00008	3594348	TARA_ANW_MAG_00001	3686209	3588101	99.980959
TARA_PSE_MAG_00008	3594348	TARA_PSW_MAG_00005	3628000	3589740	99.976314
TARA_ION_MAG_00008	3013386	TARA_ANE_MAG_00002	3133556	2920570	99.958344
TARA_ION_MAG_00008	3013386	TARA_IOS_MAG_00008	3359870	1006	99.900000
TARA_ION_MAG_00008	3013386	TARA_RED_MAG_00013	3133563	2935804	99.960396
TARA_ION_MAG_00008	3013386	TARA_ASW_MAG_00006	3084735	2905883	99.958535
TARA_ION_MAG_00008	3013386	TARA_ANW_MAG_00003	2383660	7603	96.040000
TARA_ION_MAG_00008	3013386	TARA_MED_MAG_00007	2997082	2921537	99.959407
TARA_ANW_MAG_00072	2210463	TARA_PSW_MAG_00132	2086233	78203	99.993701
TARA_ANW_MAG_00072	2210463	TARA_PSW_MAG_00130	4027331	1152173	99.984300
TARA_ANW_MAG_00072	2210463	TARA_PSW_MAG_00125	2159895	244889	99.984728
TARA_PSE_MAG_00067	3908052	TARA_IOS_MAG_00007	4062480	3749950	99.971604
TARA_PSE_MAG_00067	3908052	TARA_IOS_MAG_00006	3234375	7972	98.600000
TARA_PSE_MAG_00067	3908052	TARA_ANW_MAG_00066	2299262	7946	96.974298
TARA_PSE_MAG_00067	3908052	TARA_PON_MAG_00034	2117274	56902	94.913896
TARA_PSE_MAG_00067	3908052	TARA_PSW_MAG_00004	4269650	3779393	99.968547
TARA_PSE_MAG_00067	3908052	TARA_ASW_MAG_00009	3295614	12410	96.215574
TARA_ION_MAG_00067	2941447	TARA_RED_MAG_00022	3655333	2517218	98.386076
TARA_ION_MAG_00067	2941447	TARA_ANE_MAG_00037	3266448	372069	93.978252
TARA_ION_MAG_00067	2941447	TARA_PON_MAG_00023	4291755	593	99.660000
TARA_ION_MAG_00067	2941447	TARA_MED_MAG_00058	3389560	2194385	98.943551
TARA_ION_MAG_00067	2941447	TARA_ASE_MAG_00001	3419659	448993	93.962136
TARA_ION_MAG_00067	2941447	TARA_ASW_MAG_00004	3202824	377392	94.364772
TARA_IOS_MAG_00004	2981990	TARA_RED_MAG_00012	3161333	2903127	99.634805
TARA_MED_MAG_00092	1407426	TARA_ANW_MAG_00049	1404808	831728	99.210098
TARA_PSW_MAG_00051	806303	TARA_PON_MAG_00017	857414	768875	99.986441
TARA_ANW_MAG_00027	633839	TARA_ANE_MAG_00047	655103	577575	99.993306
TARA_ANW_MAG_00027	633839	TARA_PSW_MAG_00052	639254	633869	99.980497
TARA_MED_MAG_00139	3108602	TARA_ASE_MAG_00031	2195948	841	99.290000
TARA_MED_MAG_00139	3108602	TARA_ASW_MAG_00044	2373764	8380	99.319191
TARA_ION_MAG_00032	3679393	TARA_ANW_MAG_00009	5050254	3950	99.950785
TARA_ION_MAG_00032	3679393	TARA_PON_MAG_00001	3583974	2376736	98.725559
TARA_ASE_MAG_00031	2195948	TARA_PSW_MAG_00129	2607126	723045	99.229909
TARA_ASE_MAG_00031	2195948	TARA_PSE_MAG_00104	4696093	695	99.570000
TARA_ASE_MAG_00031	2195948	TARA_ANE_MAG_00095	2013794	12728	96.550794
TARA_ASE_MAG_00031	2195948	TARA_ANE_MAG_00087	3171046	10349	99.602807
TARA_ASE_MAG_00031	2195948	TARA_ANE_MAG_00096	2071192	457875	99.198734
TARA_ASE_MAG_00031	2195948	TARA_ANE_MAG_00031	2158947	3394	99.740000
TARA_ASE_MAG_00031	2195948	TARA_MED_MAG_00139	3108602	841	99.290000
TARA_ASE_MAG_00031	2195948	TARA_PON_MAG_00061	4476822	3708	99.380000
TARA_ASE_MAG_00031	2195948	TARA_MED_MAG_00137	3110655	4127	97.549949
TARA_ASE_MAG_00031	2195948	TARA_SOC_MAG_00002	4429622	11903	99.588901
TARA_ANW_MAG_00048	1171140	TARA_PSW_MAG_00061	1322691	43113	98.018789
TARA_IOS_MAG_00051	1337394	TARA_RED_MAG_00051	1519328	268018	98.770490
TARA_PON_MAG_00092	2807922	TARA_ASW_MAG_00049	4462837	165759	99.069059
TARA_ASW_MAG_00007	1459058	TARA_PSE_MAG_00035	3384971	1190195	99.404825
TARA_PSW_MAG_00004	4269650	TARA_PSE_MAG_00067	3908052	3779868	99.967043
TARA_PSW_MAG_00004	4269650	TARA_ANE_MAG_00075	3138207	3703	99.780000
TARA_PSW_MAG_00004	4269650	TARA_PSE_MAG_00040	2900708	16634	97.083673
TARA_PSW_MAG_00004	4269650	TARA_ANW_MAG_00066	2299262	11917	98.010061
TARA_PSW_MAG_00004	4269650	TARA_MED_MAG_00058	3389560	12818	99.923632
TARA_PSW_MAG_00004	4269650	TARA_PON_MAG_00034	2117274	121482	96.679015
TARA_PSW_MAG_00004	4269650	TARA_RED_MAG_00104	2927257	2666	99.960000
TARA_PSW_MAG_00004	4269650	TARA_IOS_MAG_00007	4062480	4036458	99.969563
TARA_PSW_MAG_00004	4269650	TARA_ASW_MAG_00009	3295614	66646	98.670845
TARA_ANE_MAG_00083	2313498	TARA_ION_MAG_00017	3389873	84712	98.107989
TARA_ASE_MAG_00010	3184547	TARA_PSW_MAG_00115	2686481	4394	98.880000
TARA_ION_MAG_00013	1989346	TARA_PSW_MAG_00002	1969578	1880871	99.645691
TARA_ION_MAG_00013	1989346	TARA_IOS_MAG_00010	1800217	1725789	99.772777
TARA_ION_MAG_00013	1989346	TARA_PSW_MAG_00084	2974357	1892	96.620000
TARA_ANW_MAG_00006	5485499	TARA_PON_MAG_00028	5555538	5361284	99.971180
TARA_ANW_MAG_00006	5485499	TARA_ANE_MAG_00075	3138207	12058	99.990314
TARA_ANW_MAG_00006	5485499	TARA_ANE_MAG_00087	3171046	2794	99.250000
TARA_ANW_MAG_00006	5485499	TARA_PSW_MAG_00031	5328746	5225264	99.931683
TARA_ANW_MAG_00006	5485499	TARA_ASW_MAG_00004	3202824	5783	99.270000
TARA_ANW_MAG_00006	5485499	TARA_PSE_MAG_00030	5288165	5145233	99.894556
TARA_RED_MAG_00013	3133563	TARA_ASW_MAG_00006	3084735	3042571	99.987695
TARA_RED_MAG_00013	3133563	TARA_ANE_MAG_00002	3133556	3093425	99.985391
TARA_RED_MAG_00013	3133563	TARA_MED_MAG_00007	2997082	2977683	99.988264
TARA_RED_MAG_00013	3133563	TARA_ASW_MAG_00016	2623217	12423	100.000000
TARA_RED_MAG_00013	3133563	TARA_ION_MAG_00008	3013386	2935875	99.960216
TARA_PSW_MAG_00025	3994083	TARA_PSE_MAG_00023	3996378	3920145	99.987635
TARA_ASW_MAG_00026	2014761	TARA_ANE_MAG_00007	2448482	15624	100.000000
TARA_ASW_MAG_00026	2014761	TARA_PSW_MAG_00063	2851959	23539	99.987868
TARA_ASW_MAG_00026	2014761	TARA_PON_MAG_00025	2557562	1110	99.910000
TARA_RED_MAG_00110	2154784	TARA_ANW_MAG_00018	2300803	3647	98.034042
TARA_PSE_MAG_00110	2124994	TARA_ASW_MAG_00044	2373764	8283	98.999130
TARA_IOS_MAG_00070	2207053	TARA_RED_MAG_00006	3754020	91227	97.743995
TARA_IOS_MAG_00070	2207053	TARA_ASE_MAG_00027	2072055	655422	99.108413
TARA_PON_MAG_00021	3638235	TARA_PSE_MAG_00077	2765508	16592	99.698683
TARA_PON_MAG_00021	3638235	TARA_PSE_MAG_00124	2025031	1200	95.760000
TARA_PON_MAG_00021	3638235	TARA_PSW_MAG_00005	3628000	3525778	99.971070
TARA_PON_MAG_00021	3638235	TARA_PSW_MAG_00046	4422249	766	96.350000
TARA_PON_MAG_00021	3638235	TARA_PSE_MAG_00008	3594348	3522709	99.967198
TARA_PON_MAG_00021	3638235	TARA_ANW_MAG_00001	3686209	3583184	99.974715
TARA_ASW_MAG_00049	4462837	TARA_PON_MAG_00089	3256010	155592	99.081085
TARA_ASW_MAG_00049	4462837	TARA_PON_MAG_00092	2807922	165772	99.068449
TARA_PSW_MAG_00029	3033342	TARA_ANW_MAG_00059	3331133	68739	99.815813
TARA_PSW_MAG_00029	3033342	TARA_PSE_MAG_00103	3242486	13617	92.605721
TARA_PSW_MAG_00029	3033342	TARA_PSE_MAG_00119	2062126	4180	89.629641
TARA_MED_MAG_00017	2869724	TARA_PSE_MAG_00025	2973798	117119	97.820155
TARA_ASW_MAG_00045	5325726	TARA_ASE_MAG_00033	2625458	2570	99.730000
TARA_PSW_MAG_00046	4422249	TARA_PON_MAG_00021	3638235	776	96.020000
TARA_ION_MAG_00070	2257910	TARA_ASE_MAG_00023	3385614	1424	100.000000
TARA_ION_MAG_00070	2257910	TARA_ANE_MAG_00087	3171046	1534934	99.200094
TARA_ION_MAG_00070	2257910	TARA_SOC_MAG_00002	4429622	1656887	97.960384
TARA_ION_MAG_00070	2257910	TARA_PSE_MAG_00104	4696093	1900	98.370000
TARA_IOS_MAG_00032	830192	TARA_ION_MAG_00020	943990	628776	99.552330
TARA_PSW_MAG_00008	3606880	TARA_ION_MAG_00021	3230972	3119574	99.989852
TARA_PSW_MAG_00008	3606880	TARA_PSE_MAG_00009	3639767	3594766	99.990341
TARA_ANE_MAG_00072	2555799	TARA_PSE_MAG_00098	3881530	5090	99.610000
TARA_ANE_MAG_00072	2555799	TARA_PSE_MAG_00083	3850852	2347331	99.946004
TARA_ION_MAG_00051	2587706	TARA_PSE_MAG_00018	4269232	2455352	99.497956
TARA_RED_MAG_00051	1519328	TARA_IOS_MAG_00051	1337394	268031	98.770965
TARA_ANW_MAG_00044	1224834	TARA_PSW_MAG_00054	1428841	235474	98.891077
TARA_ION_MAG_00005	4164337	TARA_PSE_MAG_00040	2900708	5754	98.590000
TARA_ION_MAG_00005	4164337	TARA_ANW_MAG_00009	5050254	3228	99.970000
TARA_ION_MAG_00005	4164337	TARA_PSW_MAG_00095	3237080	3229950	99.982172
TARA_ION_MAG_00005	4164337	TARA_IOS_MAG_00009	3979872	3973453	99.988670
TARA_ION_MAG_00005	4164337	TARA_PSE_MAG_00036	3841746	3820611	99.984027
TARA_ASE_MAG_00006	2981946	TARA_PSE_MAG_00142	3126293	5631	98.027746
TARA_ASE_MAG_00006	2981946	TARA_ASW_MAG_00029	3864562	8003	90.532529
TARA_ASE_MAG_00006	2981946	TARA_ION_MAG_00065	2471135	1790113	99.492726
TARA_ASE_MAG_00006	2981946	TARA_PSE_MAG_00134	3312014	10582	99.934593
