name	individual	cohort	from	accession ID	genome_completion	genome_redundancy	num_splits	total length	t_phylum	t_class	t_order	t_family	t_genus	t_species	contigs_db_path
POU_P208_MAG_00004	POU_P208	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	91.55	4.23	212	2420405	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger qucibialis	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P208_MAG_00004.db
POU_P208_MAG_00005	POU_P208	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	100.00	1.41	148	2835475	Firmicutes	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Intestinibacter	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P208_MAG_00005.db
POU_P208_MAG_00006	POU_P208	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	71.83	0.00	154	2716812	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter faecis	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P208_MAG_00006.db
POU_P208_MAG_00007	POU_P208	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	100.00	2.82	337	6707568	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P208_MAG_00007.db
POU_P208_MAG_00008	POU_P208	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	100.00	2.82	237	4686763	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P208_MAG_00008.db
POU_P208_MAG_00009	POU_P208	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	94.37	1.41	92	1781494	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS1071	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P208_MAG_00009.db
POU_P208_MAG_00010	POU_P208	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	70.42	4.23	159	3157134	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster sp001517625	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P208_MAG_00010.db
POU_P208_MAG_00011	POU_P208	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	77.46	1.41	143	2762275	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Faecalimonas	Faecalimonas umbilicata	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P208_MAG_00011.db
POU_P208_MAG_00012	POU_P208	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	95.77	1.41	171	2898153	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Parasutterella	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P208_MAG_00012.db
POU_P214_MAG_00001	POU_P214	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	71.83	4.23	158	2982666	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P214_MAG_00001.db
POU_P214_MAG_00002	POU_P214	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	98.59	2.82	254	5073893	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P214_MAG_00002.db
POU_P214_MAG_00003	POU_P214	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	50.70	1.41	287	4298310	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium	Clostridium symbiosum	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P214_MAG_00003.db
POU_P214_MAG_00004	POU_P214	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	95.77	0.00	160	2975332	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium ramosum	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P214_MAG_00004.db
POU_P214_MAG_00005	POU_P214	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	100.00	4.23	157	3078599	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira sp000437735	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P214_MAG_00005.db
POU_P214_MAG_00006	POU_P214	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	90.14	5.63	188	3515642	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P214_MAG_00006.db
POU_P214_MAG_00007	POU_P214	POUCHITIS	Vineis et al. (doi:10.1128/mBio.01713-16)	phs000262.v3.p2 (dbGaP)	66.20	9.86	187	3035949	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/POU_P214_MAG_00007.db
HMP_1061_SRS011061_bin.13	HMP_1061	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS011061	76.06	40.85	233	1846034	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes putredinis	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS011061__bin.13.db
HMP_1061_SRS011061_bin.14	HMP_1061	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS011061	98.59	0.00	219	2831497	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	CAG-353	CAG-353 sp900066885	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS011061__bin.14.db
HMP_1061_SRS011061_bin.20	HMP_1061	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS011061	85.92	0.00	300	1255151	Firmicutes	Clostridia	TANB77	CAG-508	CAG-273	CAG-273 sp000435755	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS011061__bin.20.db
HMP_1061_SRS011061_bin.23	HMP_1061	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS011061	77.46	4.23	391	1510418	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS172	UMGS172 sp900539855	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS011061__bin.23.db
HMP_1061_SRS011061_bin.26	HMP_1061	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS011061	100.00	2.82	232	1903353	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Succiniclasticum	Succiniclasticum sp900544275	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS011061__bin.26.db
HMP_1061_SRS011061_bin.34	HMP_1061	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS011061	73.24	8.45	545	2878702	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Paramuribaculum sp900553585	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS011061__bin.34.db
HMP_1061_SRS011061_bin.36	HMP_1061	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS011061	78.87	5.63	1172	3478100	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	Eubacterium sp003491505	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS011061__bin.36.db
HMP_1061_SRS011061_bin.4	HMP_1061	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS011061	87.32	7.04	341	1517058	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Angelakisella	Angelakisella sp900547385	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS011061__bin.4.db
HMP_1061_SRS011061_bin.40	HMP_1061	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS011061	94.37	2.82	214	2860567	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella sp900549445	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS011061__bin.40.db
HMP_1061_SRS011061_bin.41	HMP_1061	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS011061	90.14	0.00	277	2255172	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Parasutterella	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS011061__bin.41.db
HMP_1061_SRS011061_bin.7	HMP_1061	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS011061	94.37	5.63	558	2478707	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	CAG-115	CAG-115 sp003531585	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS011061__bin.7.db
HMP_2027_SRS052027_bin.12	HMP_2027	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS052027	73.24	2.82	416	2189071	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS052027__bin.12.db
HMP_2027_SRS052027_bin.20	HMP_2027	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS052027	88.73	1.41	229	3393931	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS052027__bin.20.db
HMP_2027_SRS052027_bin.21	HMP_2027	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS052027	94.37	4.23	231	3190126	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS052027__bin.21.db
HMP_2027_SRS052027_bin.32	HMP_2027	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS052027	73.24	0.00	93	1068111	Firmicutes	Negativicutes	Veillonellales	Dialisteraceae	UBA1822	UBA1822 sp002314995	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS052027__bin.32.db
HMP_2027_SRS052027_bin.33	HMP_2027	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS052027	97.18	2.82	109	2131389	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS052027__bin.33.db
HMP_2027_SRS052027_bin.43	HMP_2027	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS052027	81.69	1.41	156	3375548	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS052027__bin.43.db
HMP_2027_SRS052027_bin.48	HMP_2027	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS052027	100.00	4.23	141	2910165	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS052027__bin.48.db
HMP_2027_SRS052027_bin.50	HMP_2027	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS052027	97.18	7.04	160	3416427	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS052027__bin.50.db
HMP_2027_SRS052027_bin.8	HMP_2027	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS052027	85.92	0.00	112	2302440	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sutterella	Sutterella wadsworthensis	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS052027__bin.8.db
HMP_2137_SRS022137_bin.1	HMP_2137	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS022137	78.87	2.82	152	1419621	Firmicutes	Clostridia	TANB77	CAG-508	CAG-269	CAG-269 sp001916035	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS022137__bin.1.db
HMP_2137_SRS022137_bin.15	HMP_2137	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS022137	100.00	5.63	143	2665220	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS022137__bin.15.db
HMP_2137_SRS022137_bin.19	HMP_2137	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS022137	87.32	5.63	73	1142778	Firmicutes	None	None	None	None	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS022137__bin.19.db
HMP_2137_SRS022137_bin.2	HMP_2137	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS022137	98.59	0.00	124	2572756	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	CAG-353	CAG-353 sp900066885	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS022137__bin.2.db
HMP_2137_SRS022137_bin.26	HMP_2137	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS022137	90.14	0.00	129	2766205	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS022137__bin.26.db
HMP_2137_SRS022137_bin.28	HMP_2137	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS022137	100.00	1.41	113	2363755	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS022137__bin.28.db
HMP_2137_SRS022137_bin.35	HMP_2137	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS022137	81.69	5.63	208	1769201	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	ER4	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS022137__bin.35.db
HMP_2137_SRS022137_bin.4	HMP_2137	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS022137	98.59	1.41	189	4109256	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	Odoribacter splanchnicus	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS022137__bin.4.db
HMP_2137_SRS022137_bin.41	HMP_2137	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS022137	97.18	0.00	153	2489811	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminiclostridium	None	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS022137__bin.41.db
HMP_2137_SRS022137_bin.43	HMP_2137	HEALTHY	Passoli et al. (doi:10.1016/j.cell.2019.01.001)	SRS022137	74.65	1.41	66	1467153	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp001701135	WATSON_ET_AL_CONTIGS_DBS_FOR_METABOLIC_COMPARISON/HMP_2012__SRS022137__bin.43.db
